"HGNC_ID","Approved_Symbol","Status","Locus_Group","Date_Approved"
"HGNC:1","A12M1","Entry Withdrawn","other","1995-07-04"
"HGNC:10","A2MRAP","Symbol Withdrawn","other","1993-07-13"
"HGNC:100","ASIC1","Approved","protein-coding gene","1997-09-05"
"HGNC:1000","BCL5","Entry Withdrawn","phenotype","1990-09-10"
"HGNC:10000","RGS4","Approved","protein-coding gene","1997-06-09"
"HGNC:10001","RGS5","Approved","protein-coding gene","1998-10-12"
"HGNC:10002","RGS6","Approved","protein-coding gene","1999-05-17"
"HGNC:10003","RGS7","Approved","protein-coding gene","1997-03-19"
"HGNC:10004","RGS9","Approved","protein-coding gene","1998-12-15"
"HGNC:10005","RH","Symbol Withdrawn","other","1986-01-01"
"HGNC:10006","RHAG","Approved","protein-coding gene","1993-11-30"
"HGNC:10007","RHBDL1","Approved","protein-coding gene","1999-01-20"
"HGNC:10008","RHCE","Approved","protein-coding gene","1993-10-22"
"HGNC:10009","RHD","Approved","protein-coding gene","1986-01-01"
"HGNC:1001","BCL6","Approved","protein-coding gene","1993-04-12"
"HGNC:10010","RHEBP1","Approved","pseudogene","1995-11-14"
"HGNC:10011","RHEB","Approved","protein-coding gene","1996-07-17"
"HGNC:10012","RHO","Approved","protein-coding gene","1986-01-01"
"HGNC:10013","GRK1","Approved","protein-coding gene","1994-07-21"
"HGNC:10014","RIEG1","Symbol Withdrawn","other","1998-02-27"
"HGNC:10015","RIEG2","Entry Withdrawn","phenotype","1996-12-12"
"HGNC:10016","RIMKLP","Symbol Withdrawn","pseudogene","2000-05-23"
"HGNC:10017","RIT2","Approved","protein-coding gene","1996-08-28"
"HGNC:10018","RING1","Approved","protein-coding gene","1997-02-11"
"HGNC:10019","RIPK1","Approved","protein-coding gene","1999-05-07"
"HGNC:1002","BCL6B","Approved","protein-coding gene","2000-01-20"
"HGNC:10020","RIPK2","Approved","protein-coding gene","1999-05-07"
"HGNC:10021","RIPK3","Approved","protein-coding gene","1999-12-17"
"HGNC:10022","RIR","Symbol Withdrawn","other","1997-06-25"
"HGNC:10023","RIT1","Approved","protein-coding gene","1996-08-28"
"HGNC:10024","RLBP1","Approved","protein-coding gene","1991-05-15"
"HGNC:10025","RLF","Approved","protein-coding gene","1992-11-30"
"HGNC:10026","RLN1","Approved","protein-coding gene","2001-06-22"
"HGNC:10027","RLN2","Approved","protein-coding gene","2001-06-22"
"HGNC:10028","RLNL","Symbol Withdrawn","other","1997-01-16"
"HGNC:10029","RMCH","Symbol Withdrawn","other","1998-07-15"
"HGNC:1003","BCL7","Symbol Withdrawn","other","1995-07-13"
"HGNC:10030","RMD1","Entry Withdrawn","phenotype","1995-01-27"
"HGNC:10031","RMRP","Approved","non-coding RNA","1989-06-30"
"HGNC:10032","RMSA1","Entry Withdrawn","other","1996-10-30"
"HGNC:10033","RN5S","Symbol Withdrawn","other","1986-01-01"
"HGNC:10034","RN5S1@","Entry Withdrawn","non-coding RNA","1986-01-01"
"HGNC:10035","RN5S2@","Entry Withdrawn","non-coding RNA","1995-04-13"
"HGNC:10036","RN5S3@","Entry Withdrawn","non-coding RNA","1995-07-18"
"HGNC:10037","RN7SK","Approved","non-coding RNA","1994-07-11"
"HGNC:10038","RN7SL1","Approved","non-coding RNA","1994-07-11"
"HGNC:10039","RN7SL4P","Approved","pseudogene","1994-07-14"
"HGNC:1004","BCL7A","Approved","protein-coding gene","1999-03-19"
"HGNC:10040","RN7SL5P","Approved","pseudogene","1994-07-14"
"HGNC:10041","RN7SL6P","Approved","pseudogene","1994-07-14"
"HGNC:10042","RN7SL7P","Approved","pseudogene","1994-07-14"
"HGNC:10043","RN7SL8P","Approved","pseudogene","1994-07-14"
"HGNC:10044","RNASE1","Approved","protein-coding gene","1990-02-24"
"HGNC:10045","RNASE2","Approved","protein-coding gene","1990-02-24"
"HGNC:10046","RNASE3","Approved","protein-coding gene","1990-02-24"
"HGNC:10047","RNASE4","Approved","protein-coding gene","1997-07-22"
"HGNC:10048","RNASE6","Approved","protein-coding gene","1997-01-08"
"HGNC:10049","RNASEH1P1","Approved","pseudogene","1998-07-15"
"HGNC:1005","BCL7B","Approved","protein-coding gene","1999-03-19"
"HGNC:10050","RNASEL","Approved","protein-coding gene","1993-06-09"
"HGNC:10051","RNASEL1","Symbol Withdrawn","other","1999-10-26"
"HGNC:10052","RNE1","Symbol Withdrawn","other","1993-06-18"
"HGNC:10053","RNE2","Symbol Withdrawn","other","1999-12-17"
"HGNC:10054","RNE3","Symbol Withdrawn","other","1993-06-18"
"HGNC:10055","RNF10","Approved","protein-coding gene","2000-01-07"
"HGNC:10056","RNF11","Approved","protein-coding gene","2000-01-07"
"HGNC:10057","RNF13","Approved","protein-coding gene","1999-10-19"
"HGNC:10058","RNF14","Approved","protein-coding gene","1999-12-14"
"HGNC:10059","TRIM38","Approved","protein-coding gene","2000-03-06"
"HGNC:1006","BCL7C","Approved","protein-coding gene","1999-03-19"
"HGNC:10060","RNF17","Approved","protein-coding gene","2000-06-16"
"HGNC:10061","RNF2","Approved","protein-coding gene","1997-06-09"
"HGNC:10062","RNF20","Approved","protein-coding gene","2000-05-23"
"HGNC:10063","TRIM34","Approved","protein-coding gene","2000-05-23"
"HGNC:10064","TRIM3","Approved","protein-coding gene","2000-07-31"
"HGNC:10065","TRIM39","Approved","protein-coding gene","2000-07-31"
"HGNC:10066","PCGF3","Approved","protein-coding gene","1997-07-01"
"HGNC:10067","RNF4","Approved","protein-coding gene","1997-07-01"
"HGNC:10068","RNF5","Approved","protein-coding gene","1997-10-16"
"HGNC:10069","RNF6","Approved","protein-coding gene","1998-08-26"
"HGNC:1007","NBEAP1","Approved","pseudogene","1997-04-16"
"HGNC:10070","RNF7","Approved","protein-coding gene","1999-05-28"
"HGNC:10071","RNF8","Approved","protein-coding gene","1999-09-29"
"HGNC:10072","TRIM10","Approved","protein-coding gene","1999-06-18"
"HGNC:10073","RNGTT","Approved","protein-coding gene","1998-09-22"
"HGNC:10074","RNH1","Approved","protein-coding gene","1990-02-24"
"HGNC:10075","RNMT","Approved","protein-coding gene","1998-09-22"
"HGNC:10076","RNN","Symbol Withdrawn","other",Null
"HGNC:10077","RNNL","Symbol Withdrawn","other",Null
"HGNC:10078","RNPEP","Approved","protein-coding gene","1993-04-15"
"HGNC:10079","RNPEPL1","Approved","protein-coding gene","2000-09-01"
