"tax_id","GeneID","Symbol","LocusTag","description"
"1000373","11569613","RdRp","RnQV1s3_gp1","RNA dependent RNA polymerase"
"1000373","11604940","RnQV1s1_gp1","RnQV1s1_gp1","hypothetical protein"
"1000373","11604942","RnQV1s4_gp1","RnQV1s4_gp1","structural protein"
"1000373","11604944","RnQV1s2_gp1","RnQV1s2_gp1","structural protein"
"1000373","11605649",Null,Null,"Record to support submission of GeneRIFs for a gene not in Gene."
"1000418","35988695","rps12","C5S66_pgp044","ribosomal protein S12"
"1000418","35988696","clpP","C5S66_pgp043","ATP-dependent Clp protease proteolytic subunit"
"1000418","35988697","trnH(GUG)","C5S66_pgt001","tRNA"
"1000418","35988698","ycf15","C5S66_pgp023","Ycf15"
"1000418","35988699","trnI(CAU)","C5S66_pgt037","tRNA"
"1000418","35988700","rpoC1","C5S66_pgp078","RNA polymerase beta' subunit"
"1000418","35988701","trnC(GCA)","C5S66_pgt007","tRNA"
"1000418","35988702","rpoB","C5S66_pgp077","RNA polymerase beta subunit"
"1000418","35988703","rrn4.5","C5S66_pgr006","4.5S ribosomal RNA"
"1000418","35988704","trnA(UGC)","C5S66_pgt033","tRNA"
"1000418","35988705","matK","C5S66_pgp088","maturase K"
"1000418","35988706","ycf3","C5S66_pgp068","photosystem I assembly protein Ycf3"
"1000418","35988707","trnL(CAA)","C5S66_pgt036","tRNA"
"1000418","35988708","rps7","C5S66_pgp021","ribosomal protein S7"
"1000418","35988709","psaA","C5S66_pgp069","photosystem I P700 chlorophyll a apoprotein A1"
"1000418","35988710","C5S66_pgp008","C5S66_pgp008","Ycf1"
"1000418","35988711","trnS(GGA)","C5S66_pgt015","tRNA"
"1000418","35988712","rps16","C5S66_pgp087","ribosomal protein S16"
"1000418","35988713","psbT","C5S66_pgp041","photosystem II protein T"
"1000418","35988714","atpF","C5S66_pgp083","ATP synthase CF0 B subunit"
"1000418","35988715","ccsA","C5S66_pgp011","cytochrome c biogenesis protein"
"1000418","35988716","rbcL","C5S66_pgp061","ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit"
"1000418","35988717","rps19","C5S66_pgp001","pseudo"
"1000418","35988718","rpl23","C5S66_pgp025","ribosomal protein L23"
"1000418","35988719","trnI(GAU)","C5S66_pgt026","tRNA"
"1000418","35988720","trnV(GAC)","C5S66_pgt035","tRNA"
"1000418","35988721","psaI","C5S66_pgp059","PSI reaction center subunit VIII"
"1000418","35988722","accD","C5S66_pgp060","acetyl-CoA carboxylase beta subunit"
"1000418","35988723","trnS(UGA)","C5S66_pgt012","tRNA"
"1000418","35988724","rps3","C5S66_pgp029","rps3"
"1000418","35988725","atpH","C5S66_pgp082","ATP synthase CF0 C subunit"
"1000418","35988726","rpoA","C5S66_pgp036","RNA polymerase alpha subunit"
"1000418","35988727","ndhA","C5S66_pgp017","NADH dehydrogenase subunit 1"
"1000418","35988728","psbC","C5S66_pgp073","photosystem II 44 kDa protein"
"1000418","35988729","trnK(UUU)","C5S66_pgt002","tRNA"
"1000418","35988730","petD","C5S66_pgp037","cytochrome b6/f complex subunit IV"
"1000418","35988731","rps11","C5S66_pgp035","ribosomal protein S11"
"1000418","35988732","trnA(UGC)","C5S66_pgt027","tRNA"
"1000418","35988733","rrn16","C5S66_pgr001","16S ribosomal RNA"
"1000418","35988734","trnL(UAG)","C5S66_pgt030","tRNA"
"1000418","35988735","psbJ","C5S66_pgp055","photosystem II protein J"
