"hid","ncbigene"
"100","110842"
"100","1278847"
"100","172535"
"100","2108"
"100","2542075"
"100","2679775"
"100","2894161"
"100","300726"
"100","325724"
"100","36252"
"100","3878838"
"100","415353"
"100","4334698"
"100","453769"
"100","4622911"
"100","521892"
"100","549492"
"100","610134"
"100","707693"
"100","841516"
"100","856112"
"1000","100856416"
"1000","12740"
"1000","1364"
"1000","304407"
"1000","395144"
"1000","414921"
"1000","463464"
"1000","716808"
"1000","81580"
"1000","81581"
"100002","1277393"
"100002","30986"
"100008","387522"
"100008","4333892"
"100008","838935"
"100008","843403"
"10001","100912076"
"10001","423237"
"10001","478270"
"10001","508698"
"10001","548581"
"10001","55142"
"10001","567090"
"10001","66296"
"10001","679550"
"10001","708325"
"10001","741061"
"100024","2539212"
"100024","4621740"
"10003","114327"
"10003","1271542"
"10003","301295"
"10003","393942"
"10003","422041"
"10003","462765"
"10003","474935"
"10003","493468"
"10003","510124"
"10003","708517"
"10003","71877"
"100035","101905856"
"100035","101905937"
"100035","1277735"
"100035","4578479"
"100037","100486032"
"100037","395769"
"100037","406205"
"100037","406206"
"10004","100145421"
"10004","100423127"
"10004","231549"
"10004","305131"
"10004","424513"
"10004","457010"
"10004","490167"
"10004","539204"
"10004","55144"
"10004","563923"
"10005","306547"
"10005","431620"
"10005","448407"
"10005","472751"
"10005","475569"
"10005","538615"
"10005","55145"
"10005","705845"
"10005","73754"
"100051","3890475"
"100051","815347"
"100054","100492122"
"100054","227333"
"100054","368088"
"100054","424747"
"100054","460025"
"100054","486167"
"100054","513389"
"100054","714210"
"100054","8527"
