"gene_id","GO_id","evidence"
"WBGene00000001","GO:0005942","IBA"
"WBGene00000001","GO:0005942","IDA"
"WBGene00000001","GO:0005942","IEA"
"WBGene00000001","GO:0008286","IBA"
"WBGene00000001","GO:0008286","IGI"
"WBGene00000001","GO:0008286","IMP"
"WBGene00000001","GO:0008340","IMP"
"WBGene00000001","GO:0016301","IEA"
"WBGene00000001","GO:0016310","IEA"
"WBGene00000001","GO:0019901","IPI"
"WBGene00000001","GO:0035014","IEA"
"WBGene00000001","GO:0040024","IGI"
"WBGene00000001","GO:0040024","IMP"
"WBGene00000001","GO:0043551","IBA"
"WBGene00000001","GO:0046854","IBA"
"WBGene00000001","GO:0046935","IBA"
"WBGene00000002","GO:0003333","IDA"
"WBGene00000002","GO:0005886","IDA"
"WBGene00000002","GO:0015179","IBA"
"WBGene00000002","GO:0015179","IDA"
"WBGene00000002","GO:0016020","IEA"
"WBGene00000002","GO:0016021","IEA"
"WBGene00000002","GO:0022857","IEA"
"WBGene00000002","GO:0055085","IEA"
"WBGene00000002","GO:1902475","IEA"
"WBGene00000002","GO:1990184","IPI"
"WBGene00000003","GO:0015179","IBA"
"WBGene00000003","GO:0016020","IEA"
"WBGene00000003","GO:0016021","IEA"
"WBGene00000003","GO:0022857","IEA"
"WBGene00000003","GO:0055085","IEA"
"WBGene00000003","GO:1902475","IEA"
"WBGene00000004","GO:0003333","IDA"
"WBGene00000004","GO:0005886","IDA"
"WBGene00000004","GO:0015179","IDA"
"WBGene00000004","GO:0016020","IEA"
"WBGene00000004","GO:0016021","IEA"
"WBGene00000004","GO:0022857","IEA"
"WBGene00000004","GO:0055085","IEA"
"WBGene00000004","GO:1902475","IEA"
"WBGene00000004","GO:1990184","IPI"
"WBGene00000005","GO:0015179","IBA"
"WBGene00000005","GO:0016020","IEA"
"WBGene00000005","GO:0016021","IEA"
"WBGene00000005","GO:0022857","IEA"
"WBGene00000005","GO:0055085","IEA"
"WBGene00000005","GO:1902475","IEA"
"WBGene00000006","GO:0015179","IBA"
"WBGene00000006","GO:0016020","IEA"
"WBGene00000006","GO:0016021","IEA"
"WBGene00000006","GO:0022857","IEA"
"WBGene00000006","GO:0055085","IEA"
"WBGene00000006","GO:1902475","IEA"
"WBGene00000007","GO:0015179","IBA"
"WBGene00000007","GO:0016020","IEA"
"WBGene00000007","GO:0016021","IEA"
"WBGene00000007","GO:0022857","IEA"
"WBGene00000007","GO:0055085","IEA"
"WBGene00000007","GO:1902475","IEA"
"WBGene00000008","GO:0015179","IBA"
"WBGene00000008","GO:0016020","IEA"
"WBGene00000008","GO:0016021","IEA"
"WBGene00000008","GO:0022857","IEA"
"WBGene00000008","GO:0055085","IEA"
"WBGene00000008","GO:1902475","IEA"
"WBGene00000009","GO:0015179","IBA"
"WBGene00000009","GO:0016020","IEA"
"WBGene00000009","GO:0016021","IEA"
"WBGene00000009","GO:0022857","IEA"
"WBGene00000009","GO:0055085","IEA"
"WBGene00000009","GO:1902475","IEA"
"WBGene00000010","GO:0009986","IDA"
"WBGene00000010","GO:0015179","IBA"
"WBGene00000010","GO:0016020","IEA"
"WBGene00000010","GO:0016021","IEA"
"WBGene00000010","GO:0022857","IEA"
"WBGene00000010","GO:0055085","IEA"
"WBGene00000010","GO:1902475","IEA"
"WBGene00000011","GO:0000278","IMP"
"WBGene00000011","GO:0009792","IMP"
"WBGene00000011","GO:0040025","IMP"
"WBGene00000012","GO:0005576","IEA"
"WBGene00000012","GO:0098542","IEA"
"WBGene00000013","GO:0003674","ND"
"WBGene00000013","GO:0005576","IEA"
"WBGene00000013","GO:0031640","IEA"
"WBGene00000013","GO:0042742","IEA"
"WBGene00000013","GO:0050829","IEP"
"WBGene00000013","GO:0050830","IEP"
"WBGene00000013","GO:0050832","IEA"
"WBGene00000013","GO:0098542","IEA"
"WBGene00000018","GO:0000077","IGI"
"WBGene00000018","GO:0000166","IEA"
"WBGene00000018","GO:0004672","IEA"
"WBGene00000018","GO:0004713","IEA"
"WBGene00000018","GO:0004715","IBA"
"WBGene00000018","GO:0004715","IEA"
"WBGene00000018","GO:0004715","ISS"
"WBGene00000018","GO:0005515","IPI"
