"GenAge_ID","organism"
"1","Caenorhabditis elegans"
"10","Caenorhabditis elegans"
"100","Caenorhabditis elegans"
"1000","Caenorhabditis elegans"
"1001","Caenorhabditis elegans"
"1002","Caenorhabditis elegans"
"1003","Caenorhabditis elegans"
"1004","Caenorhabditis elegans"
"1005","Caenorhabditis elegans"
"1006","Caenorhabditis elegans"
"1007","Caenorhabditis elegans"
"1008","Caenorhabditis elegans"
"1009","Caenorhabditis elegans"
"101","Drosophila melanogaster"
"1010","Mus musculus"
"1011"," homolog) 1 (S. cerevisiae)  "
"1012","Mus musculus"
"1013","Drosophila melanogaster"
"1015","Saccharomyces cerevisiae"
"1016","Saccharomyces cerevisiae"
"1017","Saccharomyces cerevisiae"
"1018","Saccharomyces cerevisiae"
"1019","Saccharomyces cerevisiae"
"102","Caenorhabditis elegans"
"1020","Saccharomyces cerevisiae"
"1021","Saccharomyces cerevisiae"
"1022","Saccharomyces cerevisiae"
"1023","Saccharomyces cerevisiae"
"1024","Saccharomyces cerevisiae"
"1025","Saccharomyces cerevisiae"
"1026","Saccharomyces cerevisiae"
"1027","Saccharomyces cerevisiae"
"1028","Saccharomyces cerevisiae"
"1029","Saccharomyces cerevisiae"
"103","Caenorhabditis elegans"
"1030","Saccharomyces cerevisiae"
"1031","Saccharomyces cerevisiae"
"1032","Saccharomyces cerevisiae"
"1033","Saccharomyces cerevisiae"
"1034","Saccharomyces cerevisiae"
"1035","Saccharomyces cerevisiae"
"1036","Saccharomyces cerevisiae"
"1037","Saccharomyces cerevisiae"
"1038","Saccharomyces cerevisiae"
"1039","Saccharomyces cerevisiae"
"104","Caenorhabditis elegans"
"1040","Saccharomyces cerevisiae"
"1041","Saccharomyces cerevisiae"
"1042","Saccharomyces cerevisiae"
"1043","Saccharomyces cerevisiae"
"1044","Saccharomyces cerevisiae"
"1045","Saccharomyces cerevisiae"
"1046","Saccharomyces cerevisiae"
"1047","Saccharomyces cerevisiae"
"1048","Saccharomyces cerevisiae"
"1049","Saccharomyces cerevisiae"
"105","Saccharomyces cerevisiae"
"1050","Saccharomyces cerevisiae"
"1051","Saccharomyces cerevisiae"
"1052","Saccharomyces cerevisiae"
"1053","Saccharomyces cerevisiae"
"1054","Saccharomyces cerevisiae"
"1055","Saccharomyces cerevisiae"
"1056","Saccharomyces cerevisiae"
"1057","Saccharomyces cerevisiae"
"1058","Saccharomyces cerevisiae"
"1059","Saccharomyces cerevisiae"
"106","Saccharomyces cerevisiae"
"1060","Saccharomyces cerevisiae"
"1061","Saccharomyces cerevisiae"
"1062","Saccharomyces cerevisiae"
"1063","Saccharomyces cerevisiae"
"1064","Saccharomyces cerevisiae"
"1065","Saccharomyces cerevisiae"
"1066","Saccharomyces cerevisiae"
"1067","Saccharomyces cerevisiae"
"1068","Saccharomyces cerevisiae"
"1069","Saccharomyces cerevisiae"
"107","Caenorhabditis elegans"
"1070","Saccharomyces cerevisiae"
"1071","Saccharomyces cerevisiae"
"1072","Saccharomyces cerevisiae"
"1073"," Stam and East"
"1074","Saccharomyces cerevisiae"
"1075","Saccharomyces cerevisiae"
"1076","Saccharomyces cerevisiae"
"1077","Saccharomyces cerevisiae"
"1078","Saccharomyces cerevisiae"
"1079","Saccharomyces cerevisiae"
"108","Drosophila melanogaster"
"1080","Saccharomyces cerevisiae"
"1081","Saccharomyces cerevisiae"
"1082","Saccharomyces cerevisiae"
"1083","Saccharomyces cerevisiae"
"1084","Saccharomyces cerevisiae"
"1085","Saccharomyces cerevisiae"
"1086","Saccharomyces cerevisiae"
"1087","Saccharomyces cerevisiae"
"1088","Saccharomyces cerevisiae"
