"WBInteractionID","Interaction_type","Interaction_subtype","Interactor1","Interactor2"
"WBInteraction000000001","Genetic","Genetic_interaction","WBGene00001080","WBGene00003003"
"WBInteraction000000002","Genetic","Genetic_interaction","WBGene00001080","WBGene00023498"
"WBInteraction000000003","Genetic","Genetic_interaction","WBGene00001080","WBGene00006962"
"WBInteraction000000004","Genetic","Genetic_interaction","WBGene00001081","WBGene00003003"
"WBInteraction000000005","Genetic","Genetic_interaction","WBGene00001085","WBGene00003003"
"WBInteraction000000006","Genetic","Genetic_interaction","WBGene00001086","WBGene00003003"
"WBInteraction000000007","Genetic","Genetic_interaction","WBGene00001087","WBGene00003003"
"WBInteraction000000008","Genetic","Genetic_interaction","WBGene00001193","WBGene00006606"
"WBInteraction000000009","Genetic","Genetic_interaction","WBGene00001481","WBGene00006604"
"WBInteraction000000010","Genetic","Genetic_interaction","WBGene00004880","WBGene00006606"
"WBInteraction000000011","Genetic","Genetic_interaction","WBGene00004879","WBGene00006606"
"WBInteraction000000012","Genetic","Genetic_interaction","WBGene00006335","WBGene00006606"
"WBInteraction000000013","Genetic","Genetic_interaction","WBGene00006336","WBGene00006606"
"WBInteraction000000014","Genetic","Genetic_interaction","WBGene00001482","WBGene00006605"
"WBInteraction000000015","Genetic","Genetic_interaction","WBGene00001413","WBGene00001482"
"WBInteraction000000016","Genetic","Genetic_interaction","WBGene00006316","WBGene00006786"
"WBInteraction000000017","Genetic","Genetic_interaction","WBGene00001482","WBGene00006605"
"WBInteraction000000018","Genetic","Genetic_interaction","WBGene00001079","WBGene00006330"
"WBInteraction000000019","Genetic","Genetic_interaction","WBGene00006330","WBGene00006752"
"WBInteraction000000020","Genetic","Genetic_interaction","WBGene00006330","WBGene00006787"
"WBInteraction000000021","Genetic","Genetic_interaction","WBGene00001079","WBGene00006333"
"WBInteraction000000022","Genetic","Genetic_interaction","WBGene00006333","WBGene00006752"
"WBInteraction000000023","Genetic","Genetic_interaction","WBGene00001079","WBGene00006334"
"WBInteraction000000024","Genetic","Genetic_interaction","WBGene00006334","WBGene00006606"
"WBInteraction000000025","Genetic","Genetic_interaction","WBGene00006314","WBGene00006752"
"WBInteraction000000026","Genetic","Genetic_interaction","WBGene00001079","WBGene00006316"
"WBInteraction000000027","Genetic","Genetic_interaction","WBGene00006316","WBGene00006752"
"WBInteraction000000028","Genetic","Genetic_interaction","WBGene00006316","WBGene00006787"
"WBInteraction000000029","Genetic","Genetic_interaction","WBGene00001080","WBGene00003003"
"WBInteraction000000030","Genetic","Genetic_interaction","WBGene00001086","WBGene00006316"
"WBInteraction000000031","Genetic","Genetic_interaction","WBGene00004747","WBGene00006316"
"WBInteraction000000032","Genetic","Genetic_interaction","WBGene00000417","WBGene00001170"
"WBInteraction000000033","Genetic","Genetic_interaction","WBGene00004767","WBGene00006605"
"WBInteraction000000034","Genetic","Genetic_interaction","WBGene00006743","WBGene00006749"
"WBInteraction000000035","Genetic","Genetic_interaction","WBGene00006741","WBGene00006794"
"WBInteraction000000036","Genetic","Genetic_interaction","WBGene00001087","WBGene00006962"
"WBInteraction000000037","Genetic","Genetic_interaction","WBGene00001413","WBGene00001842"
"WBInteraction000000038","Genetic","Genetic_interaction","WBGene00001842","WBGene00004746"
"WBInteraction000000039","Genetic","Genetic_interaction","WBGene00004745","WBGene00004746"
"WBInteraction000000040","Genetic","Genetic_interaction","WBGene00004746","WBGene00006962"
"WBInteraction000000041","Genetic","Genetic_interaction","WBGene00002997","WBGene00002998"
"WBInteraction000000042","Genetic","Genetic_interaction","WBGene00002335","WBGene00006316"
"WBInteraction000000043","Genetic","Genetic_interaction","WBGene00003015","WBGene00004879"
"WBInteraction000000044","Genetic","Genetic_interaction","WBGene00003015","WBGene00004880"
"WBInteraction000000045","Genetic","Genetic_interaction","WBGene00004880","WBGene00006604"
"WBInteraction000000046","Genetic","Genetic_interaction","WBGene00003015","WBGene00004881"
"WBInteraction000000047","Genetic","Genetic_interaction","WBGene00004881","WBGene00006789"
"WBInteraction000000048","Genetic","Genetic_interaction","WBGene00004882","WBGene00006789"
"WBInteraction000000049","Genetic","Genetic_interaction","WBGene00003015","WBGene00004883"
"WBInteraction000000050","Genetic","Genetic_interaction","WBGene00003015","WBGene00004884"
"WBInteraction000000051","Genetic","Genetic_interaction","WBGene00004884","WBGene00006606"
"WBInteraction000000052","Genetic","Genetic_interaction","WBGene00004884","WBGene00006789"
"WBInteraction000000053","Genetic","Genetic_interaction","WBGene00001413","WBGene00006604"
"WBInteraction000000054","Genetic","Genetic_interaction","WBGene00006604","WBGene00006605"
"WBInteraction000000055","Genetic","Genetic_interaction","WBGene00006605","WBGene00006606"
