"interaction","gene","title","cosmid"
"","http://bio2rdf.org/wormbase:WBGene00000001","WBGene00000001 (aap-1)","Y110A7A.10"
"","http://bio2rdf.org/wormbase:WBGene00000002","WBGene00000002 (aat-1)","F27C8.1"
"","http://bio2rdf.org/wormbase:WBGene00000003","WBGene00000003 (aat-2)","F07C3.7"
"","http://bio2rdf.org/wormbase:WBGene00000004","WBGene00000004 (aat-3)","F52H2.2"
"","http://bio2rdf.org/wormbase:WBGene00000005","WBGene00000005 (aat-4)","T13A10.10"
"","http://bio2rdf.org/wormbase:WBGene00000006","WBGene00000006 (aat-5)","C55C2.5"
"","http://bio2rdf.org/wormbase:WBGene00000007","WBGene00000007 (aat-6)","T11F9.4"
"","http://bio2rdf.org/wormbase:WBGene00000008","WBGene00000008 (aat-7)","F54D12.3"
"","http://bio2rdf.org/wormbase:WBGene00000009","WBGene00000009 (aat-8)","F28F9.4"
"","http://bio2rdf.org/wormbase:WBGene00000010","WBGene00000010 (aat-9)","Y53H1C.1"
"","http://bio2rdf.org/wormbase:WBGene00000012","WBGene00000012 (abf-1)","C50F2.9"
"","http://bio2rdf.org/wormbase:WBGene00000013","WBGene00000013 (abf-2)","C50F2.10"
"","http://bio2rdf.org/wormbase:WBGene00000014","WBGene00000014 (abf-3)","F54B8.5"
"","http://bio2rdf.org/wormbase:WBGene00000015","WBGene00000015 (abf-4)","Y38H6C.22"
"","http://bio2rdf.org/wormbase:WBGene00000016","WBGene00000016 (abf-5)","T22H6.5"
"","http://bio2rdf.org/wormbase:WBGene00000017","WBGene00000017 (abf-6)","T22H6.7"
"","http://bio2rdf.org/wormbase:WBGene00000018","WBGene00000018 (abl-1)","M79.1"
"","http://bio2rdf.org/wormbase:WBGene00000019","WBGene00000019 (abt-1)","C24F3.5"
"","http://bio2rdf.org/wormbase:WBGene00000020","WBGene00000020 (abt-2)","F12B6.1"
"","http://bio2rdf.org/wormbase:WBGene00000021","WBGene00000021 (abt-3)","F55G11.9"
"","http://bio2rdf.org/wormbase:WBGene00000022","WBGene00000022 (abt-4)","Y39D8C.1"
"","http://bio2rdf.org/wormbase:WBGene00000023","WBGene00000023 (abt-5)","Y53C10A.9"
"","http://bio2rdf.org/wormbase:WBGene00000024","WBGene00000024 (abu-1)","AC3.3"
"","http://bio2rdf.org/wormbase:WBGene00000025","WBGene00000025 (abu-2)","F19G12.7"
"","http://bio2rdf.org/wormbase:WBGene00000026","WBGene00000026 (abu-3)","F31A3.1"
"","http://bio2rdf.org/wormbase:WBGene00000027","WBGene00000027 (abu-4)","Y5H2A.3"
"","http://bio2rdf.org/wormbase:WBGene00000028","WBGene00000028 (abu-5)","Y105C5A.4"
"","http://bio2rdf.org/wormbase:WBGene00000029","WBGene00000029 (abu-6)","C03A7.7"
"","http://bio2rdf.org/wormbase:WBGene00000030","WBGene00000030 (abu-7)","C03A7.8"
"","http://bio2rdf.org/wormbase:WBGene00000031","WBGene00000031 (abu-8)","C03A7.14"
"","http://bio2rdf.org/wormbase:WBGene00000032","WBGene00000032 (abu-9)","R09F10.2"
"","http://bio2rdf.org/wormbase:WBGene00000033","WBGene00000033 (abu-10)","F35A5.3"
"","http://bio2rdf.org/wormbase:WBGene00000034","WBGene00000034 (abu-11)","T01D1.6"
"","http://bio2rdf.org/wormbase:WBGene00000035","WBGene00000035 (ace-1)","W09B12.1"
"","http://bio2rdf.org/wormbase:WBGene00000036","WBGene00000036 (ace-2)","Y44E3A.2"
"","http://bio2rdf.org/wormbase:WBGene00000037","WBGene00000037 (ace-3)","Y48B6A.8"
