"GeneID","GO_ID"
"1","GO:0002576"
"1","GO:0003674"
"1","GO:0005576"
"1","GO:0005615"
"1","GO:0008150"
"1","GO:0031093"
"1","GO:0034774"
"1","GO:0043312"
"1","GO:0062023"
"1","GO:0070062"
"1","GO:0072562"
"1","GO:1904813"
"10","GO:0004060"
"10","GO:0005515"
"10","GO:0005829"
"10","GO:0006805"
"100","GO:0001666"
"100","GO:0001821"
"100","GO:0001829"
"100","GO:0001883"
"100","GO:0001889"
"100","GO:0001890"
"100","GO:0002314"
"100","GO:0002636"
"100","GO:0002686"
"100","GO:0002906"
"100","GO:0004000"
"100","GO:0005515"
"100","GO:0005615"
"100","GO:0005764"
"100","GO:0005829"
"100","GO:0005886"
"100","GO:0006154"
"100","GO:0006157"
"100","GO:0007155"
"100","GO:0007568"
"100","GO:0008270"
"100","GO:0009168"
"100","GO:0009897"
"100","GO:0009986"
"100","GO:0010460"
"100","GO:0016020"
"100","GO:0030054"
"100","GO:0030890"
"100","GO:0032261"
"100","GO:0032839"
"100","GO:0033089"
"100","GO:0033197"
"100","GO:0033632"
"100","GO:0042110"
"100","GO:0042323"
"100","GO:0042542"
"100","GO:0043025"
"100","GO:0043101"
"100","GO:0043103"
"100","GO:0043278"
"100","GO:0045987"
"100","GO:0046061"
"100","GO:0046103"
"100","GO:0046111"
"100","GO:0046638"
"100","GO:0048286"
"100","GO:0048541"
"100","GO:0048566"
"100","GO:0050728"
"100","GO:0050850"
"100","GO:0050862"
"100","GO:0060169"
"100","GO:0060205"
"100","GO:0060407"
"100","GO:0070244"
"100","GO:0070256"
"1000","GO:0000902"
"1000","GO:0005509"
"1000","GO:0005515"
"1000","GO:0005737"
"1000","GO:0005788"
"1000","GO:0005886"
"1000","GO:0005887"
"1000","GO:0005911"
"1000","GO:0005913"
"1000","GO:0005916"
"1000","GO:0005925"
"1000","GO:0007043"
"1000","GO:0007155"
"1000","GO:0007156"
"1000","GO:0007157"
"1000","GO:0007416"
"1000","GO:0008013"
"1000","GO:0008092"
"1000","GO:0009986"
"1000","GO:0010001"
"1000","GO:0014069"
"1000","GO:0014704"
"1000","GO:0016323"
"1000","GO:0016324"
"1000","GO:0016339"
"1000","GO:0016342"
"1000","GO:0016477"
