"tax_id","GeneID","Symbol","description"
"#tax_id","GeneID","Symbol","description"
"1000373","11569613","RdRp","RNA dependent RNA polymerase"
"1000373","11604940","RnQV1s1_gp1","hypothetical protein"
"1000373","11604942","RnQV1s4_gp1","structural protein"
"1000373","11604944","RnQV1s2_gp1","structural protein"
"1000373","11605649",Null,"Record to support submission of GeneRIFs for a gene not in Gene."
"1000418","35988695","rps12","ribosomal protein S12"
"1000418","35988696","clpP","ATP-dependent Clp protease proteolytic subunit"
"1000418","35988697","trnH(GUG)","tRNA"
"1000418","35988698","ycf15","Ycf15"
"1000418","35988699","trnI(CAU)","tRNA"
"1000418","35988700","rpoC1","RNA polymerase beta' subunit"
"1000418","35988701","trnC(GCA)","tRNA"
"1000418","35988702","rpoB","RNA polymerase beta subunit"
"1000418","35988703","rrn4.5","4.5S ribosomal RNA"
"1000418","35988704","trnA(UGC)","tRNA"
"1000418","35988705","matK","maturase K"
"1000418","35988706","ycf3","photosystem I assembly protein Ycf3"
"1000418","35988707","trnL(CAA)","tRNA"
"1000418","35988708","rps7","ribosomal protein S7"
"1000418","35988709","psaA","photosystem I P700 chlorophyll a apoprotein A1"
"1000418","35988710","C5S66_pgp008","Ycf1"
"1000418","35988711","trnS(GGA)","tRNA"
"1000418","35988712","rps16","ribosomal protein S16"
"1000418","35988713","psbT","photosystem II protein T"
"1000418","35988714","atpF","ATP synthase CF0 B subunit"
"1000418","35988715","ccsA","cytochrome c biogenesis protein"
"1000418","35988716","rbcL","ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit"
"1000418","35988717","rps19","pseudo"
"1000418","35988718","rpl23","ribosomal protein L23"
"1000418","35988719","trnI(GAU)","tRNA"
"1000418","35988720","trnV(GAC)","tRNA"
"1000418","35988721","psaI","PSI reaction center subunit VIII"
"1000418","35988722","accD","acetyl-CoA carboxylase beta subunit"
"1000418","35988723","trnS(UGA)","tRNA"
"1000418","35988724","rps3","rps3"
"1000418","35988725","atpH","ATP synthase CF0 C subunit"
"1000418","35988726","rpoA","RNA polymerase alpha subunit"
"1000418","35988727","ndhA","NADH dehydrogenase subunit 1"
"1000418","35988728","psbC","photosystem II 44 kDa protein"
"1000418","35988729","trnK(UUU)","tRNA"
"1000418","35988730","petD","cytochrome b6/f complex subunit IV"
"1000418","35988731","rps11","ribosomal protein S11"
"1000418","35988732","trnA(UGC)","tRNA"
"1000418","35988733","rrn16","16S ribosomal RNA"
"1000418","35988734","trnL(UAG)","tRNA"
"1000418","35988735","psbJ","photosystem II protein J"
"1000418","35988736","rrn23","23S ribosomal RNA"
"1000418","35988737","trnI(GAU)","tRNA"
"1000418","35988738","trnR(UCU)","tRNA"
"1000418","35988739","rps2","ribosomal protein S2"
"1000418","35988740","rpoC2","RNA polymerase beta'' subunit"
"1000418","35988741","petA","cytochrome f"
"1000418","35988742","ndhC","NADH dehydrogenase subunit 3"
"1000418","35988743","rpl22","ribosomal protein L22"
"1000418","35988744","trnM(CAU)","tRNA"
"1000418","35988745","trnT(UGU)","tRNA"
"1000418","35988746","trnF(GAA)","tRNA"
"1000418","35988747","cemA","envelope membrane protein"
"1000418","35988748","ndhE","NADH dehydrogenase subunit 4L"
"1000418","35988749","ndhG","NADH dehydrogenase subunit 6"
"1000418","35988750","ndhK","NADH dehydrogenase subunit K"
"1000418","35988751","ndhB","NADH dehydrogenase subunit 2"
"1000418","35988752","trnV(GAC)","tRNA"
"1000418","35988753","rps19","ribosomal protein S19"
"1000418","35988754","rpl36","ribosomal protein L36"
"1000418","35988755","rpl14","ribosomal protein L14"
"1000418","35988756","atpB","ATP synthase CF1 beta subunit"
"1000418","35988757","rps12","ribosomal protein S12"
"1000418","35988758","rpl16","ribosomal protein L16"
"1000418","35988759","trnV(UAC)","tRNA"
"1000418","35988760","rpl20","ribosomal protein L20"
"1000418","35988761","psaC","photosystem I subunit VII"
"1000418","35988762","psaB","photosystem I P700 chlorophyll a apoprotein A2"
"1000418","35988763","rpl2","ribosomal protein L2"
"1000418","35988764","trnI(CAU)","tRNA"
"1000418","35988765","rpl2","ribosomal protein L2"
"1000418","35988766","ndhH","NADH dehydrogenase subunit 7"
"1000418","35988767","petL","cytochrome b6/f complex subunit VI"
"1000418","35988768","trnL(CAA)","tRNA"
"1000418","35988769","ycf2","Ycf2"
"1000418","35988770","atpI","ATP synthase CF0 A subunit"
"1000418","35988771","ndhD","NADH dehydrogenase subunit 4"
"1000418","35988772","rps8","ribosomal protein S8"
"1000418","35988773","petB","cytochrome b6"
"1000418","35988774","rps18","ribosomal protein S18"
"1000418","35988775","trnG(GCC)","tRNA"
"1000418","35988776","psbI","photosystem II protein I"
"1000418","35988777","ndhF","NADH dehydrogenase subunit 5"
"1000418","35988778","rpl33","ribosomal protein L33"
"1000418","35988779","psbH","photosystem II protein H"
"1000418","35988780","psbL","photosystem II protein L"
"1000418","35988781","trnR(ACG)","tRNA"
"1000418","35988782","rrn4.5","4.5S ribosomal RNA"
"1000418","35988783","psbE","photosystem II protein V"
"1000418","35988784","psbF","photosystem II protein VI"
"1000418","35988785","trnW(CCA)","tRNA"
"1000418","35988786","infA","translation initiation factor 1"
"1000418","35988787","trnS(GCU)","tRNA"
