"tax_id","parent_tax_id","division_id","genetic_code_id","mitochondrial_genetic_code_id"
"1","1","8","1","0"
"10","1706371","0","11","0"
"100","99","0","11","0"
"100000","963","0","11","0"
"1000000","33882","0","11","0"
"1000001","1763","0","11","0"
"1000002","1763","0","11","0"
"1000003","1817","0","11","0"
"1000004","52972","0","11","0"
"1000005","43676","0","11","0"
"1000006","43676","0","11","0"
"1000007","286","0","11","0"
"1000008","286","0","11","0"
"1000009","286","0","11","0"
"100001","963","0","11","0"
"1000010","286","0","11","0"
"1000011","286","0","11","0"
"1000012","286","0","11","0"
"1000013","286","0","11","0"
"1000014","286","0","11","0"
"1000015","1827","0","11","0"
"1000016","1827","0","11","0"
"1000017","1827","0","11","0"
"1000018","1827","0","11","0"
"1000019","1827","0","11","0"
"100002","963","0","11","0"
"1000020","60919","0","11","0"
"1000021","60919","0","11","0"
"1000022","60919","0","11","0"
"1000023","83494","0","11","0"
"1000024","234440","0","11","0"
"1000025","234440","0","11","0"
"1000026","99482","0","11","0"
"1000027","33807","0","11","0"
"1000028","65119","11","11","0"
"1000029","286","0","11","0"
"100003","963","0","11","0"
"1000030","357","0","11","0"
"1000031","357","0","11","0"
"1000032","547","0","11","0"
"1000033","237","0","11","0"
"1000034","551","0","11","0"
"100004","963","0","11","0"
"100005","963","0","11","0"
"100006","191","0","11","0"
"100007","1763","0","11","0"
"100008","159987","4","1","4"
"100009","100008","4","1","4"
"10001","337752","6","1","2"
"100010","159987","4","1","4"
"100011","100010","4","1","4"
"100012","773","0","11","0"
"100013","773","0","11","0"
"100014","80841","0","11","0"
"100015","80841","0","11","0"
"100016","80841","0","11","0"
"100017","83494","0","11","0"
"100018","83494","0","11","0"
"100019","55170","4","1","4"
"10002","10007","6","1","2"
"100020","83494","0","11","0"
"100021","80841","0","11","0"
"100022","80841","0","11","0"
"100023","83494","0","11","0"
"100024","83494","0","11","0"
"100025","191554","4","1","4"
"100026","100025","4","1","4"
"100027","100026","4","1","4"
"1000273","570","0","11","0"
"1000274","469","0","11","0"
"1000275","497","0","11","0"
"1000276","497","0","11","0"
"1000277","1279","0","11","0"
"1000278","78079","10","1","2"
"1000279","547","0","11","0"
"100028","715943","4","1","4"
"1000280","570","0","11","0"
"1000281","1386","0","11","0"
"1000282","68","0","11","0"
"1000283","28263","0","11","0"
"1000284","28263","0","11","0"
"1000285","28263","0","11","0"
"1000286","28263","0","11","0"
"1000287","31454","4","1","4"
"1000288","119210","9","1","0"
"1000289","114727","9","1","0"
"100029","100028","4","1","4"
"1000290","114727","9","1","0"
"1000291","114727","9","1","0"
"1000292","114727","9","1","0"
"1000293","114727","9","1","0"
"1000294","114727","9","1","0"
"1000295","114727","9","1","0"
"1000296","114727","9","1","0"
"1000297","114727","9","1","0"
"1000298","114727","9","1","0"
"1000299","114727","9","1","0"
"10003","10007","6","1","2"
"100030","45292","4","1","4"
