"GeneID","GO_ID","Evidence","Category"
"1","GO:0002576","TAS","Process"
"1","GO:0003674","ND","Function"
"1","GO:0005576","HDA","Component"
"1","GO:0005576","IDA","Component"
"1","GO:0005576","TAS","Component"
"1","GO:0005615","HDA","Component"
"1","GO:0008150","ND","Process"
"1","GO:0031093","TAS","Component"
"1","GO:0034774","TAS","Component"
"1","GO:0043312","TAS","Process"
"1","GO:0062023","HDA","Component"
"1","GO:0070062","HDA","Component"
"1","GO:0072562","HDA","Component"
"1","GO:1904813","TAS","Component"
"10","GO:0004060","IBA","Function"
"10","GO:0004060","TAS","Function"
"10","GO:0005515","IPI","Function"
"10","GO:0005829","TAS","Component"
"10","GO:0006805","TAS","Process"
"100","GO:0001666","IDA","Process"
"100","GO:0001821","IEA","Process"
"100","GO:0001829","IEA","Process"
"100","GO:0001883","IEA","Function"
"100","GO:0001889","IEA","Process"
"100","GO:0001890","IEA","Process"
"100","GO:0002314","IEA","Process"
"100","GO:0002636","IEA","Process"
"100","GO:0002686","IEA","Process"
"100","GO:0002906","IEA","Process"
"100","GO:0004000","EXP","Function"
"100","GO:0004000","IBA","Function"
"100","GO:0004000","IDA","Function"
"100","GO:0004000","ISS","Function"
"100","GO:0005515","IPI","Function"
"100","GO:0005615","IEA","Component"
"100","GO:0005764","IDA","Component"
"100","GO:0005829","IBA","Component"
"100","GO:0005829","IDA","Component"
"100","GO:0005829","TAS","Component"
"100","GO:0005886","IDA","Component"
"100","GO:0006154","IBA","Process"
"100","GO:0006154","IDA","Process"
"100","GO:0006154","ISS","Process"
"100","GO:0006157","IEA","Process"
"100","GO:0007155","IEA","Process"
"100","GO:0007568","IEA","Process"
"100","GO:0008270","IMP","Function"
"100","GO:0008270","ISS","Function"
"100","GO:0009168","IEA","Process"
"100","GO:0009897","IBA","Component"
"100","GO:0009897","IDA","Component"
"100","GO:0009986","IDA","Component"
"100","GO:0010460","IEA","Process"
"100","GO:0016020","IDA","Component"
"100","GO:0030054","IEA","Component"
"100","GO:0030890","IEA","Process"
"100","GO:0032261","IMP","Process"
"100","GO:0032839","IEA","Component"
"100","GO:0033089","IEA","Process"
"100","GO:0033197","IEA","Process"
"100","GO:0033632","IDA","Process"
"100","GO:0042110","IBA","Process"
"100","GO:0042110","IDA","Process"
"100","GO:0042323","IEA","Process"
"100","GO:0042542","IEA","Process"
"100","GO:0043025","IEA","Component"
"100","GO:0043101","TAS","Process"
"100","GO:0043103","IBA","Process"
"100","GO:0043278","IEA","Process"
"100","GO:0045987","IEA","Process"
"100","GO:0046061","IEA","Process"
"100","GO:0046103","IBA","Process"
"100","GO:0046103","IDA","Process"
"100","GO:0046103","ISS","Process"
"100","GO:0046111","IEA","Process"
"100","GO:0046638","IEA","Process"
"100","GO:0048286","IEA","Process"
"100","GO:0048541","IEA","Process"
"100","GO:0048566","IEA","Process"
"100","GO:0050728","IEA","Process"
"100","GO:0050850","IEA","Process"
"100","GO:0050862","IEA","Process"
"100","GO:0060169","IBA","Process"
"100","GO:0060169","IDA","Process"
"100","GO:0060205","IEA","Component"
"100","GO:0060407","IEA","Process"
"100","GO:0070244","IEA","Process"
"100","GO:0070256","IEA","Process"
"1000","GO:0000902","IBA","Process"
"1000","GO:0005509","IBA","Function"
"1000","GO:0005509","ISS","Function"
"1000","GO:0005515","IPI","Function"
"1000","GO:0005737","IBA","Component"
"1000","GO:0005737","IDA","Component"
"1000","GO:0005788","TAS","Component"
"1000","GO:0005886","IBA","Component"
"1000","GO:0005886","IDA","Component"
"1000","GO:0005886","TAS","Component"
"1000","GO:0005887","ISS","Component"
