"nr","label","producer","propertyNum1"
"1","panache chewed","1","831"
"10","blotchy unicyclist pleasantly","1","133"
"100","picketed","3","1066"
"1000","ohms","22","831"
"10000","arizonian","206","1053"
"10001","spreadsheet incas","206","52"
"10002","paymasters undoubted pashes","206","659"
"10003","tuxes casted","206","1575"
"10004","hup momentously reengaged","206","1062"
"10005","planking","206","402"
"10006","wrapt defenses bicolors","206","118"
"10007","bugles","206","443"
"10008","afterburners ailurophobe cynical","206","437"
"10009","excreting","206","1444"
"1001","unabsorbent explicated","22","220"
"10010","menstrual","206","1258"
"10011","misbehaving dispossessed","206","1515"
"10012","flamboyancy","206","75"
"10013","ostracods","206","1196"
"10014","aflatoxin millennial","206","1307"
"10015","asthmas","206","137"
"10016","voyageurs driftway","206","1844"
"10017","berceuses frowardness toilful","206","450"
"10018","stripings bumpy","206","236"
"10019","unum toughs","206","403"
"1002","camped grandtotal","22","1409"
"10020","hunkered literati","206","442"
"10021","oilstone garlands alliterations","206","1094"
"10022","craniums ogees","206","131"
"10023","ingots sneezy teargases","206","45"
"10024","vowelizes","206","1773"
"10025","mishears engraining","206","745"
"10026","senseless assiduously","206","1181"
"10027","woefully heliographs","206","554"
"10028","victualer musculatures","206","1195"
"10029","sheeny","206","1079"
"1003","unfortunates","22","266"
"10030","repellents","206","1601"
"10031","confusingly","206","1128"
"10032","desiccatory decisiveness","207","176"
"10033","skinheads telephoning slapper","207","1144"
"10034","jiminy","207","1186"
"10035","annattos advertisers shipwrights","207","1124"
"10036","reprocessing matt abaft","207","836"
"10037","lexicographer supernovas","207","976"
"10038","pathogens","207","351"
"10039","clotured frets","207","917"
"1004","infarcts","22","1362"
"10040","telecasters barkentine daubery","207","214"
"10041","recreating ropewalks crumblings","207","647"
"10042","sexologies muskets laminator","207","1516"
"10043","delicto","207","1409"
"10044","advantaged questions","207","483"
"10045","quids","207","597"
"10046","alertest enlists unpoetic","207","744"
"10047","martially circularizing","207","628"
"10048","exculpations","207","904"
"10049","wheedles","207","764"
"1005","poisoner freely","22","479"
"10050","thirties","207","870"
"10051","abandoned","207","441"
"10052","plinks","207","1200"
"10053","peripherals neatest copyists","207","1524"
"10054","heehawing","207","337"
"10055","atoll cymbalists qui","207","501"
"10056","misconception lorn brawlier","207","824"
"10057","contractile kepis","207","305"
"10058","looking hyphenation","207","222"
"10059","alcazars dandles","207","707"
"1006","overattentive","22","1462"
"10060","procedurals almshouse","207","887"
"10061","dyspepsia hummer consolidated","207","774"
"10062","florists","207","739"
"10063","praying harriers discredited","207","981"
"10064","scanners dehorning","207","417"
"10065","nutters dollish weightier","207","615"
"10066","erectly dupers","207","44"
"10067","irrevocableness","207","578"
"10068","dietetically","207","318"
"10069","preshape activeness dreidels","207","234"
"1007","biophysiography adorer bowshots","22","599"
"10070","pharyngectomy donatives","207","165"
"10071","transferer jiff","207","254"
"10072","parricide","207","884"
"10073","hypochondriac psalming","207","397"
"10074","unsteadier","207","1124"
"10075","hypnotics crating","208","323"
"10076","blitzkrieged odalisks catalyzers","208","617"
"10077","tripper","208","8"
"10078","tuner reelects","208","590"
"10079","recognized archangels yodling","208","1023"
"1008","modules involutions","22","531"
"10080","disclosed terming","208","223"
"10081","puncturing crackers","208","75"
"10082","numbly burgundies","208","861"
"10083","minify misdefined","208","1813"
"10084","defoliants","208","1170"
"10085","patterning jugular choirs","208","529"
"10086","decorums hungerless","208","860"
