"nr","country"
"1","US"
"10","CN"
"100","US"
"1000","GB"
"10000","US"
"10001","ES"
"10002","CN"
"10003","US"
"10004","US"
"10005","AT"
"10006","GB"
"10007","RU"
"10008","JP"
"10009","DE"
"1001","DE"
"10010","US"
"10011","US"
"10012","JP"
"10013","US"
"10014","US"
"10015","KR"
"10016","US"
"10017","US"
"10018","US"
"10019","US"
"1002","US"
"10020","US"
"10021","GB"
"10022","FR"
"10023","JP"
"10024","US"
"10025","KR"
"10026","US"
"10027","US"
"10028","GB"
"10029","DE"
"1003","US"
"10030","JP"
"10031","JP"
"10032","US"
"10033","CN"
"10034","US"
"10035","US"
"10036","KR"
"10037","GB"
"10038","US"
"10039","US"
"1004","US"
"10040","US"
"10041","JP"
"10042","CN"
"10043","US"
"10044","US"
"10045","CN"
"10046","US"
"10047","GB"
"10048","GB"
"10049","US"
"1005","JP"
"10050","FR"
"10051","GB"
"10052","US"
"10053","RU"
"10054","GB"
"10055","ES"
"10056","DE"
"10057","JP"
"10058","AT"
"10059","GB"
"1006","ES"
"10060","US"
"10061","CN"
"10062","KR"
"10063","US"
"10064","JP"
"10065","US"
"10066","AT"
"10067","US"
"10068","US"
"10069","KR"
"1007","FR"
"10070","FR"
"10071","CN"
"10072","US"
"10073","US"
"10074","AT"
"10075","FR"
"10076","CN"
"10077","RU"
"10078","FR"
"10079","US"
"1008","ES"
"10080","FR"
"10081","JP"
"10082","US"
"10083","US"
"10084","ES"
"10085","US"
"10086","US"
