"nr","producer"
"1","1"
"10","1"
"100","3"
"1000","22"
"10000","206"
"10001","206"
"10002","206"
"10003","206"
"10004","206"
"10005","206"
"10006","206"
"10007","206"
"10008","206"
"10009","206"
"1001","22"
"10010","206"
"10011","206"
"10012","206"
"10013","206"
"10014","206"
"10015","206"
"10016","206"
"10017","206"
"10018","206"
"10019","206"
"1002","22"
"10020","206"
"10021","206"
"10022","206"
"10023","206"
"10024","206"
"10025","206"
"10026","206"
"10027","206"
"10028","206"
"10029","206"
"1003","22"
"10030","206"
"10031","206"
"10032","207"
"10033","207"
"10034","207"
"10035","207"
"10036","207"
"10037","207"
"10038","207"
"10039","207"
"1004","22"
"10040","207"
"10041","207"
"10042","207"
"10043","207"
"10044","207"
"10045","207"
"10046","207"
"10047","207"
"10048","207"
"10049","207"
"1005","22"
"10050","207"
"10051","207"
"10052","207"
"10053","207"
"10054","207"
"10055","207"
"10056","207"
"10057","207"
"10058","207"
"10059","207"
"1006","22"
"10060","207"
"10061","207"
"10062","207"
"10063","207"
"10064","207"
"10065","207"
"10066","207"
"10067","207"
"10068","207"
"10069","207"
"1007","22"
"10070","207"
"10071","207"
"10072","207"
"10073","207"
"10074","207"
"10075","208"
"10076","208"
"10077","208"
"10078","208"
"10079","208"
"1008","22"
"10080","208"
"10081","208"
"10082","208"
"10083","208"
"10084","208"
"10085","208"
"10086","208"
