"nr","country"
"1","GB"
"10","RU"
"100","RU"
"101","ES"
"102","US"
"103","AT"
"104","KR"
"105","JP"
"106","KR"
"107","US"
"108","DE"
"109","JP"
"11","GB"
"110","GB"
"111","JP"
"112","JP"
"113","JP"
"114","GB"
"115","US"
"116","GB"
"117","JP"
"118","RU"
"119","US"
"12","US"
"120","FR"
"121","US"
"122","CN"
"123","US"
"124","US"
"125","US"
"126","GB"
"127","RU"
"128","US"
"129","DE"
"13","GB"
"130","FR"
"131","US"
"132","RU"
"133","US"
"134","DE"
"135","US"
"136","ES"
"137","US"
"138","DE"
"139","DE"
"14","GB"
"140","US"
"141","FR"
"142","JP"
"143","DE"
"144","US"
"145","US"
"146","GB"
"147","US"
"148","CN"
"149","ES"
"15","JP"
"150","CN"
"151","US"
"152","CN"
"153","US"
"154","US"
"155","JP"
"156","DE"
"157","KR"
"158","US"
"159","JP"
"16","FR"
"160","US"
"161","GB"
"162","JP"
"163","US"
"164","ES"
"165","US"
"166","RU"
"167","US"
"168","US"
"169","JP"
"17","US"
"170","CN"
"171","KR"
"172","US"
"173","FR"
"174","CN"
"175","US"
"176","KR"
"177","US"
"178","AT"
"179","CN"
"18","GB"
"180","US"
"181","AT"
"182","DE"
"183","DE"
"184","US"
"185","DE"
"186","US"
"187","RU"
"188","ES"
