"nr","label","publisher"
"1","mopping coasters mamas","1"
"10","sparable mormonism labors","10"
"100","rugbies mystifiers","100"
"101","pricker lethality","101"
"102","distractedly octobers deciders","102"
"103","oedipuses faddy fivers","103"
"104","nerviness prefiguring slops","104"
"105","dotted hotblooded","105"
"106","meniscal","106"
"107","memorializes","107"
"108","astrobiologist furuncle","108"
"109","cryotherapies twigless financed","109"
"11","hearsays","11"
"110","wigs tersest bougainvillaeas","110"
"111","stowaways epitheliums","111"
"112","sphering apish","112"
"113","forehoofs","113"
"114","comer mamelukes collages","114"
"115","bushes cervices encapsulation","115"
"116","unmentioned","116"
"117","kobold obverts","117"
"118","seasoning","118"
"119","nuzzles","119"
"12","defraudation treading","12"
"120","cullies","120"
"121","minicab flunkies sieur","121"
"122","mackinaws counterpane fielding","122"
"123","ergs unbaked","123"
"124","intellectualization hashing","124"
"125","ragouts overvalue documentarily","125"
"126","unlisted implicating","126"
"127","stockmen fideles ropily","127"
"128","reimpose","128"
"129","enface sterilely","129"
"13","dedication certifiers pressed","13"
"130","seneschal","130"
"131","bandaged overcasual accomplished","131"
"132","moonish outcast ensigncy","132"
"133","easterner logarithmical","133"
"134","misconceiving","134"
"135","enfilades passaged","135"
"136","goddam seconder aspirers","136"
"137","gleaner spermatozoa penally","137"
"138","howdahs","138"
"139","caffein centralizer","139"
"14","aureately","14"
"140","vermicide","140"
"141","dethronement","141"
"142","neighbored sloppiest precivilization","142"
"143","ravished busyworks","143"
"144","frigs chimed overprominent","144"
"145","licensees contortions","145"
"146","prohibitionist","146"
"147","eliminators","147"
"148","jazzier speedster","148"
"149","hygienist","149"
"15","leaver","15"
"150","baned mosquitoes","150"
"151","harlequins","151"
"152","slinky","152"
"153","glaive frappes","153"
"154","crippling azide","154"
"155","soccers papering","155"
"156","miladis wiggled","156"
"157","greatcoated","157"
"158","roubles encasing keying","158"
"159","caroming","159"
"16","persecutors","16"
"160","cigaret debutants mainliners","160"
"161","eponymies shapeable","161"
"162","polyandric chutnees","162"
"163","taximan distorter","163"
"164","outflowed trysters","164"
"165","schooling","165"
"166","snowbelt botanizing","166"
"167","verifiable rehanged","167"
"168","linchpins adulterators phonological","168"
"169","yawpers decenniums docketing","169"
"17","outlines exceptionally expirer","17"
"170","humbles grungiest","170"
"171","feudary letting hobs","171"
"172","tribes","172"
"173","indisposed frighting cables","173"
"174","unites annexion despites","174"
"175","utilitarianism","175"
"176","refuting meeting polygamists","176"
"177","memorializes","177"
"178","daystar","178"
"179","sayer","179"
"18","elbowing budders","18"
"180","intenseness","180"
"181","sexiness smallholder countability","181"
"182","dockers indorser","182"
"183","preadjusts doubles","183"
"184","humaner exactingly lakier","184"
"185","immobilities safest","185"
"186","timorousness","186"
"187","smallness goddamn","187"
"188","fagging","188"
