"nr","label","comment","producer","propertyNum1","propertyNum2","propertyNum4","propertyTex1","propertyTex2","propertyTex3","propertyTex4","propertyTex5"
"1","panache chewed","obligations lowbrow sensationalists unrelated unhand sprays retreads scavenges clingers enfevering offishness functioning oysteries tardier liaised aphorisms democratism jeopardizing aliners otologies pithiness drawls dirked equinity viaticums duodenum reformative berceuse hyphened casette troops conquering staplers hagbuts disobeyed feelers negotiatrix dittos estradiol cascades phlebitis rabidities excusing decameters discredited nettable fluted adversaries abridgments anointment recharges tenantless hoisting interludes disemploy tasked chirographer locusts actiniums vituperates unmolded tallymen","1","831","312",Null,"variabilities heraldic renews absurdum ammoniums shudderingly luminists obscurement ostracizes eagles bacteriotoxin lusters cragged","ump nictitating tremulousness displeasure subcultures cretic nullifies reanalyses crankier","cholla excited deodar abscissions neutrally chapters pinnacles rootlets fishbowls clarifiable jaded unrehearsed glisters","vagrantly rafters grouting lachrymator","\N"
"10","blotchy unicyclist pleasantly","saurians nonpareil voluptuary stolonic microanalytical shards ratfish sardinians arsonic spacewomen avascular cavitates aridity teleological bussing feeing assertion vips spoofing whitecapping heeler glowed reporter reges metacarpus nuttiness bureaucratized durations consolidators bossies delusionary bearcats hidings shiploads casking entrusts marauder reacquisitions neatens scrimpier retainer cirrus aqualung systematically exhalent jeweled unlearned postdigestive extricated boozed biotechnology mentis inundated toxoids subclassify crowdy unended scatologies smocking wilders pushups validities reclining plutocrat clonking feeblish chartist clinged ashed foundlings floodgates chicle rends deplane masochistically shrewishness incorrupt infiltrators intermittencies overdrink bundler overcapacity ladybugs locusts hairstyling unlinked bookers hypodermically veneerers","1","133","141","1194","monarchical coition appestats contractive holidaying waddings crumblier ransomer workshops coonhound","reps gargantua muggily posturer clamour triceps faying deduction woodcocks subbranch immigrated gearshift muscularity","overheaps fucking porkiest cocking cates deprecated","marinated prostrating unresigned oddness ignobly normed raining golds verminously anele pentathlon hugger vainglory catarrhous chronologist","calligrapher detached classer phenocopies plow braiders"
"100","picketed","plodders malpractitioner inveighs lento gherkins enslaves transsexualism wiggled grazers bullocks dowels caroms gracing tikis graveyards foliating enthusing prefabricating propertied pensions calcines jamborees encamped addible despises encapsulated fem dilations invocator lidos denouements sorrier races enchained understands sociopaths shirtmaker biomicroscopy overdevelops brevier resources lightened cooties pharmaceuticals trigging rearoused crumbiest warehoused understructure streamlines meteoroids unbuckles merchantmen subletting triage frightening horded swaps cuppas hectoliters intercessional loury softheads prohibitor errants doggerel breasting crossbones moping subregions divagated drunker polyesters compts beguiled anabolic unhindered submerses omnivorously flintlike grandest sprayer unsymmetrically fleshlier maidens deescalation eunuch furtively destining claybanks dramatists sorter pluguglies fingering modernizers stableness crumbliest bobbers bobsledders facer odoriferous aqueously hobbyists conquests dashboards forewords dowdiest intellectualized adjournments personalities sendoff mentation straightjacket subpartnership amorousness interterritorial lianes glazier reabsorbing asininity gerontotherapy misbehaving","3","1066","876",Null,"volumes sagos objectant lucidness sieved eligibles jumbles irrigating jujubes feasibly","acclivities anglophobe scallopers desegregation prier alumines temporized fortnightly reburial follies ramshackle subfloor cribbages","scofflaws squiffed hoteliers","\N","\N"
"1000","ohms","soleprint deadlocking taxingly jutes phantasmagory filmography memberships bequeathment coincidentally blockhouses curies nitrogens lands ophthalmological nepenthes radarscopes shoplifted sprained tessellation hesitancies readapts succour eared disoblige galluses flemings infractor overexplicit mixes impersonations patting landing unseats entrance reticular outscore corns herbariums detoxicating hoppers telegraphists pinnated flaring masted fenders stellate cariocas cetacean putties dements outplay coshed pestered chivying faeries dozier quarrels aeronautically conjunctival glads materialist disgorges synchs untilled freeloaded cumins stipes hairsbreadth absolver componential corrugator inches slabs obscuranticism crosshatches preternaturally mezcal retrofiring apportionment befools dispatched immanence figurant contrastingly distracted sleeving shriekier pajamaed adeptness fording sufferers unarm cottoning technics unscrupulous uncomforted serving wennier pommelled editorialist clanking personably nucleonic antihistamine thalami","22","831","409",Null,"soldiering shimmers afreets enuretic divestitive tillers","randomized trainable amish nonpossessiveness","sparkers diamonds betting overspecialize depressional circumventing vesting kindergartens jujubes deposers","\N","\N"
"10000","arizonian","yds disabuse trucking vocoder blotter emitters wergelt calories tokonoma malignancy transitionally nonhabitable apprenticing discontented prolonged farcies analyzed townish laggardness copped debilitative abstractly accumulators rhodiums promonarchist youthening untouchable sonorants avocadoes preallotting sneakier clabber mumbletypeg gargoyles gastrolavage peonage limpidly yawns romps thereinafter concreteness terrains whimsicality viators discontinuation surmounts responder lividity deleteriousness trollops endoskeleton wheaten resettling olfactology boluses squeezed scuffling misdealt convener subconscious aurist beclouds foveae toothsomeness waterproofs grassiest inebriates discipliner effluxes puggish fingered efficiency hogbacks startling blousily fernless ergotisms sanding spearing humdrums rebaptize hemorrhoids prostyle northwestward adaptiveness gessoes remunerativeness nills sunbath causeries","206","1053","1278","918","shoveling matildas forehanded zippiest vassals vulturous parricidal","antimonarchist prisoner desolates occupies undresses spears chubbiest callowest","lectureship unknotting standardized polers vizards maker dedication newsprint","woozy garcons lupins used graal presoaked commissaries","tarpons berliners blistery troves direction hybridizers breezier flutings"
"10001","spreadsheet incas","shored racialistic taciturnities pyritic rigorism stags saintdoms innoxious teeny blackballed almsmen preconstructed hemline semiagricultural flopovers conventual rotundity enlargements budding careless accommodative conelrad undoing infallibleness domesticity kepis pings cushioning tartrates literatim opaques preadjusted vined venders avocadoes wayfaring imploding blisters autotransplant sailors supplementals undetected viticulturists blusterers expectantly disemploys overabounded counteracting concertized corncakes seminude horehounds crabbing roller cooperatively anguses nudies pinker unfermented riffs realistic cryptal trustiest railside trinketing tacks ottomans inverter venality administerial attorneys bludgeoned sympathizes bakeshops cannonism intercalation filchers tarriest rhapsodizes deportees countability brimmers aggrandizement interconnects envenoms stakes inchoately pictographic hammerheads biogeographers whiteness defrayal bowler parenthetically pickups compotes electorial duplexing suddenness cabinetmakers reapplier activated kingless elaborateness butterfingers problems phrenetic conation armoires flappable vigors dirts atwitter dishevelled resetters determining feasters presumable novelist wifelier cymose oxidizers cosmonauts viticultural advertizer attenuations silencer translated rewrought capelet groovy liberators reforest pedestals usages impugnable attachment gustation","206","52","367",Null,"reclothing rapturous barkentines sunrooms undistilled preexposures","yodelling malocclusions pangs witted familia eventuality","coccyxes superannuating dimorphisms abstentionist tropin coinsured derelicts anaesthetist","\N","\N"
"10002","paymasters undoubted pashes","matzo indoctrination cardholders coatis periodontics normality tourer skippering droning reliers reinfuses sextant unpossessive extemporize dandyish browsing meditation etiolating clocker placably uninvested kinesis trouty flinting helipads knaps sulphurize charrier overwrites equalising tactlessly vernacularly goldeyes eventuating traducer alarums liquidator disposers bocks albuminous avengers attainer mazier beads whickered bagged loaders pudenda daemonic mammary eidos songsters kinfolk subsists tourisms wirepulling noting unbuttons overembellish silva antinovels taperers promenaders retreats proration rigidly terraria littlenecks dieing decongested stenographically killdee nuncios noncritical tamburas photostated waggeries nephrite cambodians colorably primigenial sculp coshers paralyze","206","659","110",Null,"larker poorly cuts imprints expectorations","sighters inculpability storminess latinize hatcheling siltier legalities forwhy lasciviousness sexualizing impoverishment wising kenny","offenders outlasted autopsying intellectualize mattery brimming","\N","\N"
"10003","tuxes casted","aquaplanes brawliest flunkies anticonvulsive phenylketonuria ligatured reintroduce schmalz jouncing trousers splendider matriculations typifies apologues preacceptances safflower coved cicerones foetid crawlways paramedics arteries depolarization benefactions allergin puritanical sharped jackdaws grandtotal zoysias rowdyism dearly diffuses undersign calcites contrivances greyed casking playlets desensitizer apothems ruffes roomers amelioration resultants redly curatorship journalistically supplemented aphrodisia cohesions meteoroids airfoils pampers sheets philtre cowardly outmarches cracklier spiracles krills purlieu internationalism partnerships substantiation hazarding abruptly swatter explicated bandoleer bets iridescent disproportional sacbuts transmigrating tottery lumbers plowed submiss persuader swirlier","206","1575","21",Null,"amphoral justing supercargoes saneness alarmed tickled laming herbivorous escuages dwellers cheeped lamentable dunking lollop","flagrancy publicists dialyzes daimons cannalling fellahs nagger palatability nuisances mights meniscal edema","supersedes hoggishly imposes steadiers polenta embarrasses vespers sphered aggravates fairways ewer betides soleless bicycles wholesomely","\N","\N"
"10004","hup momentously reengaged","centillion exceptions ruinously pronghorn rouens shanti galileo liq mechanistic yawning girlies fulling treasurers kakemonos buggies petulantly trephined scaped criminology geoid imbalmed kindness bustles unleveling shamanic unflaggingly willowier metricizes hobbling unitarians solstitial haphazardly nonflowering cesura adsorbed exactors retailors floppiest deports lippier vagrancy screeches razers bunking shaly bloodier adman prophecies toupees pourers automatism prioress automats reckoned sunback phenolics personas ballo nonconductors unharnessing polypous estradiol screenwriter beggaring snatchier ozonizing brambles ideologies inkles xanthous lyre castanets irrespectively improvidently impairments contemplative woodpile glandularly veluring dopey topknot putridly ropeways matchlocks overfatigued enate tumefies backyards infolders invitees overlords beadworks decorums norms nouns textured cognisable overloads trimonthly salters godsons antinarcotics beautification smorgasbord vociferation demagoguery beadwork paining pustuled bivalves birdlimes multicellular sandwort deringer interrelation autographing abounding erases eductor indentor","206","1062","1477","1734","cayman noddy footboard therapists ozonized dover costly","skivvies ampul chiefdoms smelters intrigued imposer effemination neediest nondescriptive palpitates chromized chowtimes massacrers torpidity louses","collectivist gyrates squirmed contracts cirrocumulus ornamenting maxixe sandwort bouffants sanitated lethality vulturous elfish tinseled unresistant","chiefly oldest gestured phonographically greeny valuated commercialized chalah","\N"
"10005","planking","epeeists untidy cutinizing sonnets overwhelming injurers elaborator workmaster brattiness polysyllabic moratoria reconsecrations trojans beneficiating heirlooms osteopaths trustfulness acceded novocain dejects narcotizes unifies pawnbrokers caltrop inflicting submarine engager precollege globate discombobulate spiraled trows arrogations callosities bitterness doxy decayers unsheathes coherer undauntedly lips involvements micrologic flageolets haberdasheries venomously abstractors proprietors sinusitis mopeder sparingly eighteenths hanked masturbating papillons larrupers benevolence haranguers eyebrows limitedly overcharged erns gigs oppressed indecently muttonchops cremated guck distrusting plausibly plagues emigrating serb peacoat pigeonholes unmaskers isolationism weariful tinselly intermittencies shockingly sauls identifiers vigilantly nonevent incumbers apoplexies liars reverters slandering solicited capitalize","206","402","104",Null,"indianans neoliths madders insalubrities breathers proverbed pronouncing bioscope cases nixy knelled brokage shams luff","curses russians chiefs farmyard impugnable emancipating","bateaux winnows gargantua viviparously overboard toothsomeness depoliticizing rework unharmonious extirpated telemetry mildewing","\N","\N"
