"nr","label","producer","propertyNum1","propertyNum2","propertyTex1"
"1","panache chewed","1","831","312","variabilities heraldic renews absurdum ammoniums shudderingly luminists obscurement ostracizes eagles bacteriotoxin lusters cragged"
"10","blotchy unicyclist pleasantly","1","133","141","monarchical coition appestats contractive holidaying waddings crumblier ransomer workshops coonhound"
"100","picketed","3","1066","876","volumes sagos objectant lucidness sieved eligibles jumbles irrigating jujubes feasibly"
"1000","ohms","22","831","409","soldiering shimmers afreets enuretic divestitive tillers"
"10000","arizonian","206","1053","1278","shoveling matildas forehanded zippiest vassals vulturous parricidal"
"10001","spreadsheet incas","206","52","367","reclothing rapturous barkentines sunrooms undistilled preexposures"
"10002","paymasters undoubted pashes","206","659","110","larker poorly cuts imprints expectorations"
"10003","tuxes casted","206","1575","21","amphoral justing supercargoes saneness alarmed tickled laming herbivorous escuages dwellers cheeped lamentable dunking lollop"
"10004","hup momentously reengaged","206","1062","1477","cayman noddy footboard therapists ozonized dover costly"
"10005","planking","206","402","104","indianans neoliths madders insalubrities breathers proverbed pronouncing bioscope cases nixy knelled brokage shams luff"
"10006","wrapt defenses bicolors","206","118","142","syncoms favours pulsejets linguistically extortionately preconditioning lugubriousness"
"10007","bugles","206","443","564","nonconductor unionize soave meccas kaiak abracadabra cybernation resupply bacteriologies confirms schnook musicotherapy"
"10008","afterburners ailurophobe cynical","206","437","542","supports fantasizes bracted evenly outputted radiobiologic orderers rendezvousing pouring manifoldly cambiums smouldered cameroonians"
"10009","excreting","206","1444","537","nonpermanent hypothyroidism hobnobs couples overcoat mitering diapasons arrogations manrope abatement lowlife unhelpful horselaughs"
"1001","unabsorbent explicated","22","220","1154","effloresces stimulation retires bloodless crowder mazed tremulousness stockily hematologist stuntedness martyrdoms"
"10010","menstrual","206","1258","653","almoner spiting estates premisses torpidly metering manageability affects overcooled unfertile obstetrically pleads monocytes woodbines whinnies"
"10011","misbehaving dispossessed","206","1515","1705","revenual moistened mortgages deputational coshes artfulness unlighted cuboidal gamuts strapless grillage resubmit justified baulkier"
"10012","flamboyancy","206","75","325","noddle neighbors alcazar overcharge scantiness materialized"
"10013","ostracods","206","1196","775","junketed lasing cyclamens departed feral rhythmically skycap xenoliths ambidextrously overrate oceanographers tamarisk disinterring plotter stylist"
"10014","aflatoxin millennial","206","1307","1158","minicar nolle pasturer dibs sorels gastritis tangram caressing calicos"
"10015","asthmas","206","137","126","fogeys glitters melted cay lipless personalizes suitcases parte imprecating brusquer mumped panging"
"10016","voyageurs driftway","206","1844","50","galore acquiescently surveys seagoing atrial martinis hardboots hydrocephaly"
"10017","berceuses frowardness toilful","206","450","306","qoph indonesian falsifying octyls matchboxes barbituric libidinously fishnet doffer poodles colonizes"
"10018","stripings bumpy","206","236","1030","interbanking mesozoa usurpers revivalist muggered mothy kneepads conservatorship patroller"
"10019","unum toughs","206","403","854","revisit representatively gulches fattened redraw calicoes rhodiums furuncle distributing caulker traumas"
"1002","camped grandtotal","22","1409","608","barkier misrepresentee blenders concrescences quintuple increased"
"10020","hunkered literati","206","442","1325","opiates preeminently hopefulness overdresses redeemability clop bungholes jolts"
"10021","oilstone garlands alliterations","206","1094","1667","gainless demulcent gaieties gashed subclinical"
"10022","craniums ogees","206","131","122","catatonias hugs mutability sympathizes roofings hymeneal smiths quieti unexceptional inactivating wounding wormiest interfaces reexported grunters"
