"product","productFeature"
"1","10012"
"1","10014"
"1","10024"
"1","10026"
"1","10028"
"1","10029"
"1","1122"
"1","1126"
"1","1128"
"1","1129"
"1","1131"
"1","1137"
"1","1138"
"1","64"
"1","70"
"1","73"
"10","1057"
"10","1060"
"10","1070"
"10","1077"
"10","56"
"10","61"
"10","62"
"10","64"
"10","67"
"10","71"
"10","9358"
"10","9359"
"10","9360"
"10","9361"
"10","9366"
"10","9372"
"10","9376"
"10","9377"
"10","9379"
"10","9380"
"10","9381"
"10","9382"
"10","9387"
"10","9398"
"100","40"
"100","41"
"100","44"
"100","46"
"100","50"
"100","55"
"100","6998"
"100","6999"
"100","7002"
"100","7005"
"100","7010"
"100","7011"
"100","7015"
"100","766"
"100","768"
"100","774"
"100","780"
"100","783"
"100","786"
"100","788"
"100","790"
"100","792"
"1000","10487"
"1000","10492"
"1000","10494"
"1000","10497"
"1000","10506"
"1000","10510"
"1000","10511"
"1000","10513"
"1000","10516"
"1000","10518"
"1000","1178"
"1000","1180"
"1000","1185"
"1000","1194"
"1000","1196"
"1000","1199"
"1000","1200"
"1000","56"
"1000","58"
"1000","68"
"1000","70"
"1000","72"
"10000","25"
"10000","27"
"10000","28"
"10000","32"
"10000","36"
"10000","37"
"10000","5837"
"10000","5842"
"10000","5844"
"10000","5846"
"10000","5856"
"10000","5865"
"10000","604"
"10000","611"
"10000","614"
