"nr","label","producer"
"1","panache chewed","1"
"10","blotchy unicyclist pleasantly","1"
"100","picketed","3"
"1000","ohms","22"
"10000","arizonian","206"
"10001","spreadsheet incas","206"
"10002","paymasters undoubted pashes","206"
"10003","tuxes casted","206"
"10004","hup momentously reengaged","206"
"10005","planking","206"
"10006","wrapt defenses bicolors","206"
"10007","bugles","206"
"10008","afterburners ailurophobe cynical","206"
"10009","excreting","206"
"1001","unabsorbent explicated","22"
"10010","menstrual","206"
"10011","misbehaving dispossessed","206"
"10012","flamboyancy","206"
"10013","ostracods","206"
"10014","aflatoxin millennial","206"
"10015","asthmas","206"
"10016","voyageurs driftway","206"
"10017","berceuses frowardness toilful","206"
"10018","stripings bumpy","206"
"10019","unum toughs","206"
"1002","camped grandtotal","22"
"10020","hunkered literati","206"
"10021","oilstone garlands alliterations","206"
"10022","craniums ogees","206"
"10023","ingots sneezy teargases","206"
"10024","vowelizes","206"
"10025","mishears engraining","206"
"10026","senseless assiduously","206"
"10027","woefully heliographs","206"
"10028","victualer musculatures","206"
"10029","sheeny","206"
"1003","unfortunates","22"
"10030","repellents","206"
"10031","confusingly","206"
"10032","desiccatory decisiveness","207"
"10033","skinheads telephoning slapper","207"
"10034","jiminy","207"
"10035","annattos advertisers shipwrights","207"
"10036","reprocessing matt abaft","207"
"10037","lexicographer supernovas","207"
"10038","pathogens","207"
"10039","clotured frets","207"
"1004","infarcts","22"
"10040","telecasters barkentine daubery","207"
"10041","recreating ropewalks crumblings","207"
"10042","sexologies muskets laminator","207"
"10043","delicto","207"
"10044","advantaged questions","207"
"10045","quids","207"
"10046","alertest enlists unpoetic","207"
"10047","martially circularizing","207"
"10048","exculpations","207"
"10049","wheedles","207"
"1005","poisoner freely","22"
"10050","thirties","207"
"10051","abandoned","207"
"10052","plinks","207"
"10053","peripherals neatest copyists","207"
"10054","heehawing","207"
"10055","atoll cymbalists qui","207"
"10056","misconception lorn brawlier","207"
"10057","contractile kepis","207"
"10058","looking hyphenation","207"
"10059","alcazars dandles","207"
"1006","overattentive","22"
"10060","procedurals almshouse","207"
"10061","dyspepsia hummer consolidated","207"
"10062","florists","207"
"10063","praying harriers discredited","207"
"10064","scanners dehorning","207"
"10065","nutters dollish weightier","207"
"10066","erectly dupers","207"
"10067","irrevocableness","207"
"10068","dietetically","207"
"10069","preshape activeness dreidels","207"
"1007","biophysiography adorer bowshots","22"
"10070","pharyngectomy donatives","207"
"10071","transferer jiff","207"
"10072","parricide","207"
"10073","hypochondriac psalming","207"
"10074","unsteadier","207"
"10075","hypnotics crating","208"
"10076","blitzkrieged odalisks catalyzers","208"
"10077","tripper","208"
"10078","tuner reelects","208"
"10079","recognized archangels yodling","208"
"1008","modules involutions","22"
"10080","disclosed terming","208"
"10081","puncturing crackers","208"
"10082","numbly burgundies","208"
"10083","minify misdefined","208"
"10084","defoliants","208"
"10085","patterning jugular choirs","208"
"10086","decorums hungerless","208"
