"nr","product","person","title","rating1","rating2"
"1","16626","1","barters declinature tungstens choiceness waterskiing unslaked inefficiently fussed amateurishness marrers mutualization refuelled barque",Null,"10"
"10","23287","1","catching unpinned empathizes disconnected hwy eschalot draggers lucubrated pets kidnapper","9","4"
"100","19766","6","atremble unmooring scantlings betime supinely reletting chanteuse swathing shashlik determinative depersonalizing ploy sauntered italicize reappointed","8","9"
"1000","41375","50","irrefragable irritableness dilates amblers muffins algin keratosis disagreeing dynamically cakewalker","8",Null
"10000","32028","503","constructionists overgenerous smoldered tolerative uncommunicative astonished immortality swiftest slinging logged probative limberest","3","3"
"100000","20829","5102","supplementarily preformed capitulary slickly boons inviters vasectomized gutters sprit glomming boggiest xylograph protectionism coiners",Null,"5"
"100001","11522","5102","ailing deviance surgy superposes spading rails dispensaries floated","5",Null
"100002","7874","5102","quirts hiccups tartrate perspiry casting frenchwomen biotically reallocates semiannually purifications coating hazing papally chia","3","6"
"100003","43798","5102","sluiced effector apologizer illegibility demolitions hagged prettifier superficiality megalith readopts gangsterism jagger bauds",Null,"4"
"100004","36902","5103","nebulously photosynthetically viewless pietists verifiers emancipators swirls civilizations competence kulturs faraway limbs cycloid moonstruck ammoniating","5","5"
"100005","26025","5103","forgoer quackier extractive disparagement timings","10","6"
"100006","21098","5103","debouch epithelia mimicries copies affraying loafing cutdowns","10","5"
"100007","22661","5103","tzetzes rended prefixally tanglier whizzes maniocas","8",Null
"100008","27610","5103","pepperers reciprocated heiresses laconism wilding aortal assumptions papaya bunchier cadging rightness blindfolds retails antiskid","8",Null
"100009","26757","5103","scans republicans impeaches faintest establishments maladjusted frequenting trounced pagodas forks",Null,"4"
"10001","18273","503","anole sticker shipmates chelas servicers giantesses policies workbags slouchier osteological bikeway golfings saucing logicize anilins","1",Null
"100010","18554","5103","fleyed notarizations mooted hobbledehoys doublets drolleries buoyages greyish siding rotted rerolling carrageenin fastballs jackanapeses","1","2"
"100011","26026","5103","steatopygia bashers conciser guardants yup kickstand ratable anthroposophy splits",Null,Null
"100012","14383","5103","laboratorial aggrandizement melanomas auditors stutteringly caesarean bestiality nicaraguans expended","8","1"
"100013","29172","5103","transposed lengthier autocratically outshouting fragmentariness orchestras comforter rowdyisms donationes omnivore salsa preceptor immaterially batfish",Null,"8"
"100014","29134","5103","ravelers pamperers disannulled reviler kinetics reshipment unswervingly unrounding bromidic peritoneums hackworks retributor coronachs docks shortchanged",Null,"1"
"100015","23478","5103","preciser underflow baffled redissolved chews togas taproom tollgates relisted foretokening whanging tasses maneuverable","5",Null
"100016","41689","5103","carted blackjacking reproof interregional calumnious weens combinations wiggeries",Null,Null
"100017","11806","5103","exculpation catalogues gulfing amuser crammed unholy stereochemical anticyclonic unrevealed rheumatoid mendacities reprogramming",Null,Null
"100018","20650","5104","reapportions meaners surrealism bubonic debasing coagulator derat enthusiasms reloader",Null,"3"
"100019","20134","5104","odalisque unconsoled inflexed fumy hospitalizing","10",Null
"10002","31809","503","blamableness trochaic competitors terminally underdrawers earths recommits drest","2","9"
"100020","24117","5104","unappreciative friendship pelf pointillists bitsy presbyters yaks transplantations pudgily inseminated mailwoman zigzagged pursuance logrolled",Null,"4"
"100021","22866","5104","unfitting eonian crucifying maintops seduced moltenly imbuing",Null,"6"
"100022","15723","5104","interrupted capitalization titivating dissuades scrutinizer peppering lecturing","4","10"
"100023","29916","5104","ciphered magnesias unitized impinges chrysalises donators twinned bankrupts sipping excerpting nontemporally headwords treacles lards","2","2"
