"nr","product","person","reviewDate","title","text","rating1","rating2","rating3","rating4"
"1","16626","1","2007-12-17 00:00:00","barters declinature tungstens choiceness waterskiing unslaked inefficiently fussed amateurishness marrers mutualization refuelled barque","lushly justle sheering bathetic ammoniating comedies semiclassically reinform dues chutists odyl unclose misidentifications overbite snakes opalesces louisianians synthesizing consensually disbanded woodblock boundaries rogueing arthropods axels muttering individually yearned exempted manque treatises wheezily yep substituted scrapings schmo submergible tapers incantations somesthesises dealer restrainedly sectionized fasciae drabbed discounted cartels spiritless misrepresenting spondaics enhaloes culturally vitrifies monologists hitlerism permissable gaveled combustibilities seeker reptiles leggiest whitened drywall junketeers journeyed farcy indicting envenomization unalleviated honan syndicating ringsides overconfident maharishis clepe rusticator miraculously exurbanites ingoing sidearms thinkably sentimental gloaming gyms redwings accessorily demobilizing thundering omelette cowiest meliorative undamped hassels unresistant spewer presynaptically shintoist intreating dogear awfully recovers pallor blackjacked testacies becking blottiest fauvists sugars scollops redemonstrate eumorphic decliners interplanetary trumped scaly antipacifists adulating supposer clothespin taco assonantly laboring viaducts muscularly unworthy fitfully sharpness proctoscopic memorizing simperer bordels buoys churching kettledrums voltes mottled burlesques raisons gossipping reconvening tressy unlit outgoings fidgeted senility minxes santonins menads songwriter reimprisons groundlessly pheromone rubrical erotization rifling arete preconceals denominated basins gapingly unbearably colure huskily isolators",Null,"10","10",Null
"10","23287","1","2007-07-17 00:00:00","catching unpinned empathizes disconnected hwy eschalot draggers lucubrated pets kidnapper","hippest descended speakers pawing unembarrassed lancelets refigured fillmore mushroomed emphatically scandalizer maximite dillydally metrologies enquiring bacteriophages decontaminates resigns depreciators rhymesters entireties aspens revalued drearies quarrellers engrammes stormiest hyacinths alkalies exorcized tunnelled plentifulness announces redeem tartans diplomatists heats reenslaves aquacade nonpolitical binnacles batiks mesmerized throttling renovates antiserums hypoing corns cortically buoyancy restoratively decompressed spillers puking woollens intensification moodiness networked orcs nonvisual pamphleteer amenable inertly gregariousness rumblingly voyageurs repayments swaddling peahens frogeye overheaps freshets schwa stylise extremely pseudopodium drumrolls droughts obligational proving chiffons robotry editorship quacksalver vindicators epoxies rustication continues creakiness chugs drifters prigs amassing pharisee oscillometric novembers glimpsers showrooms oxidizers retributed pinecone bracketed barbarizing biocidal umpiring poperies windless fistula anachronistically sauces chowed ranching cudgeled corneal inspectorial grandams mistime pissing towardly floggers whirler pentalogies insuperably deprecator speculatively","9","4","1","8"
"100","19766","6","2007-08-07 00:00:00","atremble unmooring scantlings betime supinely reletting chanteuse swathing shashlik determinative depersonalizing ploy sauntered italicize reappointed","boarish packable jeopardies dinguses cranching servomechanisms briefcases refutable monitors aerofoil cresses equitant accommodatively strickles sugarcoats recapitulated carping advises perfuming plagues conveyed batboy concertizing cliffhanging groundnut zarfs barbecuing tartrate warmness soleprint reticently hitter scanned soupiest lorans moolah bozo spumante intrusting crowned foreordination ultras alights abalones underfinance milieux tolerated shears disappoint divinities demoniacal replying yummy hooper pricking cutcheries snots roentgenologists bridals ambuscading preadapt shadowed dandler curatrix viviparous caravansaries redevelopments daymare strangely monomaniacal passim superficialities spirituality kleptomaniac adjuster ratter frequenter sloshing subdebs narwal ampicillin assemblywoman backbitten subgroups wigeon sleepily unstrung bespake unwariness hexing forma druidism lamella therapeutist peartly glazed punisher vivifying veritably motored reenlists bandbox overattentively moldiest capstans glisters organized apnoea sweetens agglutinated extendable goading capitulator preexpose unaging dualist bastions duckweeds poltroon insulators statuesque envisioning","8","9","9","1"
"1000","41375","50","2008-05-12 00:00:00","irrefragable irritableness dilates amblers muffins algin keratosis disagreeing dynamically cakewalker","toxicities instituter unrequitable sidelights mulled fogged innerly passim matutinal modeled boldfaced ammine palpability hyperextension halfbeaks stets debars rawer reneging enchantment dildoes blindage exhilarating factotum pews unsafeties inscrutableness immured incredibleness depressions leakiest deisms unamusing distributors reliquidated peddler masks ephedrine cretic trowelers swashes fetishists eyebolts reenlighted reeducation dustiest instigated pinkishness goblets evolvers overwound cabriolet fossils declinature ogive trilateral dopiest decoyed infringed forksful augmenter cryotrons interventions mythologically snoutish pintsize disseminated grated shampooed mewing wormers midwiferies majority savageness colleagues sacrificer crammed windmills celeb gazebo racings hellfires solemnize gallivanter woundingly softheartedly slobs timpanum imbalmed peering operability roisterers telecasted criticalness commensurations","8",Null,"8","7"
"10000","32028","503","2007-12-15 00:00:00","constructionists overgenerous smoldered tolerative uncommunicative astonished immortality swiftest slinging logged probative limberest","hydrolyses zealousness smoggier oversupplies tovarich proofer promiscuities irrupted downers microdissection unforgivable scarified slasher intimaters purchaser leukemias energize nonintellectuals davenports positiver acridities langauge hawked radomes pulsation dyings biosatellites debunkers gulpy lese shoppers syphoned carbides purposefully heelless stellate reeducation safariing dungy coyer bracts dynamiter brochettes caterers dict analytical fulgent staggerers crocheters frustums attestors fratricidal centrism obfuscating ruralizing demarcates wrangler merrymaking warier","3","3","9",Null
"100000","20829","5102","2007-12-08 00:00:00","supplementarily preformed capitulary slickly boons inviters vasectomized gutters sprit glomming boggiest xylograph protectionism coiners","capitulator reassign familiarness jocosity lickety intercessor reconfiscation bevels overtop waylays calumniation easeful sovietizing nonperishable conversions unriddling reattained existing patriliny inuring attentiveness departmentalizing eternalness washcloth dipsticks inadmissibly pardoners patrolwomen pharyngectomies curare relist leaks constrictive predetermines wrathily blackamoor interlinear hotchpotch coordinator assayer speedways floridly reliquidated wailfully bicycling abstruseness rocks paralleled unbid marcels corruptibility quieta unrighteousness raconteur buskin clandestinely archdiocesan guncotton ramrods tnpk",Null,"5","1",Null
"100001","11522","5102","2008-03-07 00:00:00","ailing deviance surgy superposes spading rails dispensaries floated","alternates iffiness nymphos irrigations apathetically queuers jongleurs acorns redeemability queller excitons battledore wantonness fighters fumiest apposable unimportant enhancement pipeages bestialities bathrooms hallucinogens yeasts forages reaccepting antipollution sourer columned pokiest bottlenecks sobbed alpinism mountebankeries cajolements nonsecular amalgamating detachments lassies uninformative harlequins earldom hematologists smokehouses dumbbells sips drubs opalesces stuffier foreseeable dollied mealworms hollered expatiated rethreaded decayers indorsors unimpeachably paisleys hajji hailed radiums gillie comprizing woodpeckers facials quackism clammier passant sacredness airglow misbelief uncontrollable bosque curare estimates northeasterly castigated suborders polynomials sartorial fusilier ampitheater smattered bathyspheres humiliation supered factualism keelless balalaikas pygmies overgrow damascene greenhorns turndown empaneled articulator gamuts shammy gads misspending airbursts roadsteads pretenses destrier pronunciations cyanotic lionizes noncasual aristocracies pushy preterminal subsists denominationally","5",Null,Null,"1"
"100002","7874","5102","2008-05-11 00:00:00","quirts hiccups tartrate perspiry casting frenchwomen biotically reallocates semiannually purifications coating hazing papally chia","sakis photogs snuggery trilobed weltering armholes permanents ketchups osteopathist hemodialyses typecase reorient sibilance iratest reanimations microbiologic chequered ruralize portraitist clansmen tabstop reweighs tentering restrictionism dural nonparticipant slewing ailerons reelection wagon recidivists uneconomically fleshly vivaciously catalepsy placidness overintensely rockroses suavely barer pasters accolades indecisively garnitures designated mungoose philharmonics fitfulness knotweed pneumonitis journals englishing cocos pleasantries internationalizes mopeds screecher fruiterer settled profounder hibernating plangency pipestem proprieties hanumans predaciousness gracefulness regnum que talliers complicating sensating stinter muskrats comities excoriated eristic alphabetically quackish acidulate injunctions gusseted guitars millage submember resettling provisos falteringly blowtorch substitutabilities tactics sauteing condole predication backbiting nervine insistently pecky manos lysed decenaries bwanas takeouts sprucing unjustifiable keratosis calorimetric shier cunningest serrating sabbat stepups saunterer desugar intuited duennas physis adoptability magnanimousness smoothened comprised appalls evacuation testacies iniquities fakery inscrutableness transformers hectors defrosting exteriorly guars quainter photoelectricity featherier animality cantering primaries telefilms disestablishes gaped feedbox cyanin fibrose enunciations bouncers honester feints misproportion biomasses eyepoints epilepsy","3","6","10","1"
"100003","43798","5102","2007-12-25 00:00:00","sluiced effector apologizer illegibility demolitions hagged prettifier superficiality megalith readopts gangsterism jagger bauds","chalcopyrite fretwork wearisomeness besmirching destaining blatherskites necessitously scrives agilities uncoated winkled senhors hearer struts baselessness yellowbellies arrowroots crystallize hassock betters nonhuman irrecoverably expositions hallowed roundelays uprooters bullnose scurfy annunciatory kakistocracies ratsbanes waistbands lays spotters chromatographic postbag fogless viperidae unctuosity saxons embracers caliphates deifications illuminatingly exercised gastronomes audiotapes coprocessor fatherhood abjurer labyrinthine poliomyelitic instrumentality smallholder connectives sembling ponces selfishness upleaping postures natalities lavalavas foehns pixies varietals renominating visualizer vernaculars dishwares protists",Null,"4","8","9"
"100004","36902","5103","2007-07-12 00:00:00","nebulously photosynthetically viewless pietists verifiers emancipators swirls civilizations competence kulturs faraway limbs cycloid moonstruck ammoniating","unoccupied despairing ecotypic bandanna furnisher panzers narcolepsies tackiest forkers ashlars consistency precociousness avails hebraist exceeds stillborn sowbread drafting fisheries fielder unlikelihood rented redissolved metalworker bedewing discussing suppliable gutta outarguing everlastingly nears cashmeres obligated warblers ganevs spins distinction chantors individualize cookout chewed pithiest democracies dissectors mountebankeries tankard yetis aunts swishes pedestrians jewry preglacial windswept kneecaps voicer accidentalness beboppers slouchiest flubbing poetize parliamentarians forceless apelike trooping arresting antis abler reinvolved citatory cont soaked establishments gangers tatted reestablishing boutonnieres scrawlier replication tetany cowboys gaiter unfasten leasings indirectness geometries tantalizes mirier chairing lownesses constructed chairing perjurious megalomaniacal graspable anadems apprized sacerdotally ordained felloes dusters stratocumuli nincompoops outwits duetted really dividable tempestuousness ardor pulchritudinous logistician botchiest lushes pathogeneses verses slushiness interpolation curliness bushings tunas discontinuance huskies alohas grippers foilsmen defences nonapplicable uprightness benignity vitiator hatchers lampposts employment subindices crackdowns visitable derider expounding overdiligent totalized enshrines misquotations sublimeness predating lavishest subminiature palsied outsmart elucidating embowering","5","5","1","4"
