"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"4__10_A___1__IT_1","40.3452092520339","-3.8120436071956","20000036"
"4__10_A___1__IT_1","40.345273653863","-3.81198853329682","20000035"
"4__10_A___1__IT_1","40.346059992807","-3.81131750113814","20000034"
"4__10_A___1__IT_1","40.3461432999613","-3.81124443824125","20000033"
"4__10_A___1__IT_1","40.3462258053424","-3.81116995025126","20000032"
"4__10_A___1__IT_1","40.3462803022024","-3.81111961897685","20000031"
"4__10_A___1__IT_1","40.3463447116803","-3.81105645307789","20000030"
"4__10_A___1__IT_1","40.3464401670782","-3.81095916034106","20000029"
"4__10_A___1__IT_1","40.3465027988118","-3.81089267594442","20000028"
"4__10_A___1__IT_1","40.3465646234969","-3.81082500547048","20000027"
"4__10_A___1__IT_1","40.3466258292882","-3.81075591096764","20000026"
"4__10_A___1__IT_1","40.3473113965349","-3.80998791877866","20000025"
"4__10_A___1__IT_1","40.3476542610027","-3.8096050971057","20000024"
"4__10_A___1__IT_1","40.3481248923573","-3.80907778571458","20000023"
"4__10_A___1__IT_1","40.3482743484471","-3.8089110729499","20000022"
"4__10_A___1__IT_1","40.3483500429677","-3.80883108194547","20000021"
"4__10_A___1__IT_1","40.3484013089876","-3.80877882463796","20000020"
"4__10_A___1__IT_1","40.3484531107177","-3.80872751329664","20000019"
"4__10_A___1__IT_1","40.3488423685638","-3.80835735874656","20000018"
"4__10_A___1__IT_1","40.3488654092762","-3.80833481373584","20000017"
"4__10_A___1__IT_1","40.3488684027635","-3.80833188333277","20000016"
"4__10_A___1__IT_1","40.3489198514306","-3.80827962743309","20000015"
"4__10_A___1__IT_1","40.3489703162559","-3.80822582776913","20000014"
"4__10_A___1__IT_1","40.3489951015365","-3.80819845097676","20000013"
"4__10_A___1__IT_1","40.349043963968","-3.80814227822107","20000012"
"4__10_A___1__IT_1","40.3490919353302","-3.80808456398341","20000011"
"4__10_A___1__IT_1","40.3491154733917","-3.80805517043345","20000010"
"4__10_A___1__IT_1","40.3492318348923","-3.80790560187717","20000009"
"4__10_A___1__IT_1","40.349302546711","-3.80781683438369","20000008"
"4__10_A___1__IT_1","40.3493740649217","-3.80772843311405","20000007"
"4__10_A___1__IT_1","40.3494357292353","-3.80765804553278","20000006"
"4__10_A___1__IT_1","40.3494774898259","-3.80761215065293","20000005"
"4__10_A___1__IT_1","40.3495408459361","-3.80754460790937","20000004"
"4__10_A___1__IT_1","40.349605268862","-3.80747884640074","20000003"
"4__10_A___1__IT_1","40.3498073348663","-3.80727342217847","20000002"
"4__10_A___1__IT_1","40.3503130955283","-3.8067590279319","19000119"
"4__10_A___1__IT_1","40.3503130955283","-3.8067590279319","20000001"
"4__10_A___1__IT_1","40.3507540631979","-3.8063105232619","19000118"
"4__10_A___1__IT_1","40.3508522353192","-3.80621077473827","19000117"
"4__10_A___1__IT_1","40.351048403539","-3.80601116051119","19000116"
"4__10_A___1__IT_1","40.3511464888367","-3.8059112935147","19000115"
"4__10_A___1__IT_1","40.3514691418089","-3.80558259224573","19000114"
"4__10_A___1__IT_1","40.3518569305202","-3.8051890713672","19000113"
"4__10_A___1__IT_1","40.3522115246253","-3.8048274131691","19000112"
"4__10_A___1__IT_1","40.3525662861273","-3.8044671698166","19000111"
"4__10_A___1__IT_1","40.3534028442273","-3.80361558268985","19000110"
"4__10_A___1__IT_1","40.3540104804372","-3.80299701493096","19000109"
"4__10_A___1__IT_1","40.3541003836285","-3.80290728614379","19000108"
"4__10_A___1__IT_1","40.3542135878052","-3.8027962857189","19000107"
"4__10_A___1__IT_1","40.3542894960907","-3.80272382131847","19000106"
"4__10_A___1__IT_1","40.3543697422466","-3.80264940508895","19000105"
"4__10_A___1__IT_1","40.3544778952457","-3.80255235742283","19000104"
"4__10_A___1__IT_1","40.3545872895758","-3.80245791254724","19000103"
"4__10_A___1__IT_1","40.3546702940878","-3.80238882879731","19000102"
"4__10_A___1__IT_1","40.3548100830059","-3.80227648948568","19000101"
"4__10_A___1__IT_1","40.3548950430304","-3.80221107906674","19000100"
"4__10_A___1__IT_1","40.3550093220998","-3.80212646515912","19000099"
"4__10_A___1__IT_1","40.3550626862367","-3.80208859065952","19000098"
"4__10_A___1__IT_1","40.355124214958","-3.8020449212242","19000097"
"4__10_A___1__IT_1","40.3552110224403","-3.80198577230817","19000096"
"4__10_A___1__IT_1","40.3553277683216","-3.80190943255907","19000095"
"4__10_A___1__IT_1","40.3554456708148","-3.80183557690395","19000094"
"4__10_A___1__IT_1","40.3555647220378","-3.80176456325677","19000093"
"4__10_A___1__IT_1","40.3556847462725","-3.80169626825222","19000092"
"4__10_A___1__IT_1","40.3557754512301","-3.80164682112452","19000091"
"4__10_A___1__IT_1","40.3558972427902","-3.80158349268338","19000090"
"4__10_A___1__IT_1","40.3560199156586","-3.80152311735872","19000089"
"4__10_A___1__IT_1","40.3561434712095","-3.80146510754069","19000088"
"4__10_A___1__IT_1","40.3562368238978","-3.80142358247129","19000087"
"4__10_A___1__IT_1","40.3562993510939","-3.80139699926066","19000086"
"4__10_A___1__IT_1","40.3564246602845","-3.80134619334677","19000085"
"4__10_A___1__IT_1","40.3564875321856","-3.80132173736152","19000084"
"4__10_A___1__IT_1","40.3565821020294","-3.80128670215755","19000083"
"4__10_A___1__IT_1","40.3566453211381","-3.80126401310565","19000082"
"4__10_A___1__IT_1","40.3567404117849","-3.80123169484798","19000081"
"4__10_A___1__IT_1","40.3568358504595","-3.80120102579449","19000080"
"4__10_A___1__IT_1","40.3568996807199","-3.80118140687874","19000079"
"4__10_A___1__IT_1","40.3570275944276","-3.80114476394483","19000078"
"4__10_A___1__IT_1","40.3572205629408","-3.8010939299536","19000077"
"4__10_A___1__IT_1","40.3574217329049","-3.80104237427529","19000076"
"4__10_A___1__IT_1","40.3575024153138","-3.80102201001053","19000075"
"4__10_A___1__IT_1","40.3576626033757","-3.80098221425381","19000074"
"4__10_A___1__IT_1","40.357926124419","-3.80091647003287","19000073"
"4__10_A___1__IT_1","40.3581430779228","-3.80086235611723","19000072"
"4__10_A___1__IT_1","40.3608766920347","-3.80017660909183","19000071"
"4__10_A___1__IT_1","40.3619223988532","-3.79991348361616","19000070"
"4__10_A___1__IT_1","40.3623694071094","-3.79979957394701","19000069"
"4__10_A___1__IT_1","40.3624385408617","-3.79978176028793","19000068"
"4__10_A___1__IT_1","40.362807582401","-3.79968662077013","19000067"
"4__10_A___1__IT_1","40.3632500903901","-3.79957218157387","19000066"
"4__10_A___1__IT_1","40.3634701230327","-3.79951589097853","19000065"
"4__10_A___1__IT_1","40.3639258999708","-3.79939771972745","19000064"
"4__10_A___1__IT_1","40.3644403271217","-3.79926634191466","19000063"
"4__10_A___1__IT_1","40.3647526090056","-3.79918463762637","19000062"
"4__10_A___1__IT_1","40.3651876239935","-3.79907234491744","19000061"
"4__10_A___1__IT_1","40.3661920402008","-3.79881282391885","19000060"
"4__10_A___1__IT_1","40.3664276050964","-3.79875129397781","19000059"
"4__10_A___1__IT_1","40.3666964545485","-3.79868355720278","19000058"
"4__10_A___1__IT_1","40.3669511468364","-3.79861755027889","19000057"
"4__10_A___1__IT_1","40.3678648655305","-3.79838073007858","19000056"
"4__10_A___1__IT_1","40.3681851915993","-3.79829487014181","19000055"
"4__10_A___1__IT_1","40.3687259689474","-3.7981438825034","19000054"
"4__10_A___1__IT_1","40.3690752864664","-3.79804764622652","19000053"
"4__10_A___1__IT_1","40.3695149138564","-3.79793244685902","19000052"
"4__10_A___1__IT_1","40.3703983018684","-3.79770409490948","19000051"
"4__10_A___1__IT_1","40.3708426970431","-3.79759024426552","19000050"
"4__10_A___1__IT_1","40.3712839407161","-3.79747599929699","19000049"
"4__10_A___1__IT_1","40.3714639014926","-3.7974295063616","19000048"
"4__10_A___1__IT_1","40.3718212101174","-3.79733720632108","19000047"
"4__10_A___1__IT_1","40.3719489210493","-3.79730349206105","19000046"
"4__10_A___1__IT_1","40.3721086823465","-3.79726002417748","19000045"
"4__10_A___1__IT_1","40.3722380414773","-3.79722232179272","19000044"
"4__10_A___1__IT_1","40.372334557619","-3.79719212309979","19000043"
"4__10_A___1__IT_1","40.3724622408463","-3.79714922022784","19000042"
"4__10_A___1__IT_1","40.3725563508628","-3.7971154603978","19000041"
"4__10_A___1__IT_1","40.3726811846811","-3.79706769300976","19000040"
"4__10_A___1__IT_1","40.3728055000818","-3.79701697334961","19000039"
"4__10_A___1__IT_1","40.3729292008339","-3.79696353820978","19000038"
"4__10_A___1__IT_1","40.3730214772948","-3.7969210407999","19000037"
"4__10_A___1__IT_1","40.3730826709646","-3.79689195889837","19000036"
"4__10_A___1__IT_1","40.3731437791375","-3.79686181697771","19000035"
"4__10_A___1__IT_1","40.3732351846724","-3.79681483171699","19000034"
"4__10_A___1__IT_1","40.3733262395762","-3.79676643103575","19000033"
"4__10_A___1__IT_1","40.3734468815966","-3.79669953053898","19000032"
"4__10_A___1__IT_1","40.3735657430128","-3.79662954501872","19000031"
"4__10_A___1__IT_1","40.373683723908","-3.79655672418511","19000030"
"4__10_A___1__IT_1","40.3737715016975","-3.79650027189365","19000029"
"4__10_A___1__IT_1","40.373888078311","-3.79642177995217","19000028"
"4__10_A___1__IT_1","40.3739747140522","-3.79636095665227","19000027"
"4__10_A___1__IT_1","40.3740607288284","-3.79629859337878","19000026"
"4__10_A___1__IT_1","40.3741745592052","-3.79621370868772","19000025"
"4__10_A___1__IT_1","40.3743441888205","-3.79608436134549","19000024"
"4__10_A___1__IT_1","40.3745411014204","-3.79593118513428","19000023"
"4__10_A___1__IT_1","40.3751316460101","-3.79547271498688","19000022"
"4__10_A___1__IT_1","40.3753560190721","-3.79529559194791","19000021"
"4__10_A___1__IT_1","40.3754112859025","-3.79525030089801","19000020"
"4__10_A___1__IT_1","40.3754931222213","-3.79517999455539","19000019"
"4__10_A___1__IT_1","40.3755467877599","-3.7951317383859","19000018"
"4__10_A___1__IT_1","40.3756263098997","-3.79505692943399","19000017"
"4__10_A___1__IT_1","40.3757046813484","-3.79497939508237","19000016"
"4__10_A___1__IT_1","40.3757813621948","-3.7948987802991","19000015"
"4__10_A___1__IT_1","40.3758314713269","-3.79484376743566","19000014"
"4__10_A___1__IT_1","40.3759052108885","-3.79475852484699","19000013"
"4__10_A___1__IT_1","40.3759764377883","-3.79467183544189","19000012"
"4__10_A___1__IT_1","40.3759875247422","-3.79465762024828","19000011"
"4__10_A___1__IT_1","40.3760460581921","-3.79458254013441","19000010"
"4__10_A___1__IT_1","40.3760914316967","-3.79452193349904","19000009"
"4__10_A___1__IT_1","40.3761360897841","-3.7944600249537","19000008"
"4__10_A___1__IT_1","40.3761580159671","-3.79442882914403","19000007"
"4__10_A___1__IT_1","40.3762324623083","-3.79431920970234","19000006"
"4__10_A___1__IT_1","40.3763242258611","-3.79418045795461","19000005"
"4__10_A___1__IT_1","40.3765046117413","-3.79390127198882","19000004"
"4__10_A___1__IT_1","40.3767360923503","-3.79354128467493","19000003"
"4__10_A___1__IT_1","40.3770327005765","-3.79307721438146","19000002"
"4__10_A___1__IT_1","40.3770728685141","-3.79301480256328","18000050"
"4__10_A___1__IT_1","40.3770728685141","-3.79301480256328","19000001"
"4__10_A___1__IT_1","40.3771588172695","-3.79288125896997","18000049"
"4__10_A___1__IT_1","40.3774861640009","-3.79237466357329","18000048"
"4__10_A___1__IT_1","40.3776712912462","-3.79208656949571","18000047"
"4__10_A___1__IT_1","40.3777353795726","-3.79198942611794","18000046"
"4__10_A___1__IT_1","40.3777987545824","-3.79189145195204","18000045"
"4__10_A___1__IT_1","40.3778612299271","-3.79179275790647","18000044"
"4__10_A___1__IT_1","40.3779230846427","-3.79169311635851","18000043"
"4__10_A___1__IT_1","40.3780143867298","-3.79154221863225","18000042"
"4__10_A___1__IT_1","40.3780535001689","-3.79147435257905","18000041"
"4__10_A___1__IT_1","40.3781108770474","-3.79137076942576","18000040"
"4__10_A___1__IT_1","40.3781665501178","-3.79126575254079","18000039"
"4__10_A___1__IT_1","40.378220612968","-3.79115918522121","18000038"
"4__10_A___1__IT_1","40.3783245316541","-3.79094175999353","18000037"
"4__10_A___1__IT_1","40.3784276472468","-3.7907231455074","18000036"
"4__10_A___1__IT_1","40.3784628278663","-3.79065051813815","18000035"
"4__10_A___1__IT_1","40.3784988169514","-3.79057849151228","18000034"
"4__10_A___1__IT_1","40.3785010348683","-3.79057415992405","18000033"
"4__10_A___1__IT_1","40.378535430757","-3.79050705994647","18000032"
"4__10_A___1__IT_1","40.3785726728796","-3.79043622465978","18000031"
"4__10_A___1__IT_1","40.3786108107887","-3.79036586861822","18000030"
"4__10_A___1__IT_1","40.3786501141859","-3.79029647089444","18000029"
"4__10_A___1__IT_1","40.3786903093231","-3.79022814491285","18000028"
"4__10_A___1__IT_1","40.3787315806974","-3.79016065486637","18000027"
"4__10_A___1__IT_1","40.3787949630374","-3.790061380626","18000026"
"4__10_A___1__IT_1","40.3788384712105","-3.78999627256307","18000025"
"4__10_A___1__IT_1","40.3788827795505","-3.78993258622238","18000024"
"4__10_A___1__IT_1","40.3789499104254","-3.78983818408109","18000023"
"4__10_A___1__IT_1","40.3789953827016","-3.78977580931762","18000022"
"4__10_A___1__IT_1","40.3790643899127","-3.78968366821741","18000021"
"4__10_A___1__IT_1","40.3803584265706","-3.78798292596479","18000020"
"4__10_A___1__IT_1","40.3805393177624","-3.78774625374828","18000019"
"4__10_A___1__IT_1","40.3806769416101","-3.78756618421048","18000018"
"4__10_A___1__IT_1","40.3807467442972","-3.78747616836214","18000017"
"4__10_A___1__IT_1","40.3808406153767","-3.78735733315474","18000016"
"4__10_A___1__IT_1","40.3809356512872","-3.78723980940902","18000015"
"4__10_A___1__IT_1","40.38103221111","-3.78712312418593","18000014"
"4__10_A___1__IT_1","40.3810809828709","-3.78706537738748","18000013"
"4__10_A___1__IT_1","40.3811548109819","-3.7869796472122","18000012"
"4__10_A___1__IT_1","40.3813528260511","-3.78675493655328","18000011"
"4__10_A___1__IT_1","40.3814834307659","-3.78660909859383","18000010"
