"route_id","route_long_name"
"4__10___","Hospital del Norte-Puerta del Sur"
"4__11___","Plaza Elíptica-La Fortuna"
"4__12___","MetroSur"
"4__1___","Pinar de Chamartín-Valdecarros"
"4__2___","Las Rosas-Cuatro Caminos"
"4__3___","Villaverde Alto-Moncloa"
"4__4___","Pinar de Chamartín-Argüelles"
"4__5___","Alameda de Osuna-Casa de Campo"
"4__6___","Circular"
"4__7___","Hospital del Henares-Pitis"
"4__8___","Nuevos Ministerios - Aeropuerto T4"
"4__9___","Paco de Lucía-Arganda del Rey"
"4__R___","Opera-Príncipe Pío"
