"stop_id","stop_name","wheelchair_boarding"
"acc_4_100_271","Avda. Poblados","0"
"acc_4_100_272","Maqueda","0"
"acc_4_100_273","Acceso RENFE","0"
"acc_4_100_274","Maqueda","0"
"acc_4_100_275","Avda. Poblados","0"
"acc_4_100_276","Terminal Autobuses","0"
"acc_4_100_277","Terminal Autobuses","0"
"acc_4_101_278","Padre Piquer","0"
"acc_4_102_279","Padre Piquer pares","0"
"acc_4_102_280","Padre Piquer impares","0"
"acc_4_103_281","Camino de Campamento s/n","0"
"acc_4_103_282","Ascensor","0"
"acc_4_104_1029","Ascensor nº1","0"
"acc_4_104_1030","Ascensor nº2","0"
"acc_4_104_1031","Ascensor nº3","0"
"acc_4_104_284","Alhambra pares","0"
"acc_4_104_285","Alhambra impares","0"
"acc_4_105_1033","Ascensor exterior nº1","0"
"acc_4_105_1035","Nuestra Señora de Valvanera - via Carpetana - Ateca","0"
"acc_4_105_1036","Ascensor exterior nº2","0"
"acc_4_105_286","Vía Carpetana","0"
"acc_4_107_287","Portalegre pares","0"
"acc_4_107_288","Portalegre impares","0"
"acc_4_108_289","Avda. Oporto pares","0"
"acc_4_108_290","Pza. Fernández Ladreda","0"
"acc_4_108_291","Ascensor","0"
"acc_4_108_292","Marcelo Usera pares","0"
"acc_4_108_293","Marcelo Usera impares","0"
"acc_4_108_800","Acceso intercambiador","0"
"acc_4_109_294","Amparo Usera","0"
"acc_4_109_295","Mirasierra","0"
"acc_4_109_806","Ascensor exterior","0"
"acc_4_10_34","Barceló","0"
"acc_4_10_35","Fuencarral","0"
"acc_4_10_36","Tribunal de Cuentas","0"
"acc_4_111_296","Méndez Alvaro impares","0"
"acc_4_111_297","Méndez Alvaro pares","0"
"acc_4_111_299","Pedro Bosch","0"
"acc_4_111_595","Retama","0"
"acc_4_111_596","Ascensor exterior intercambiador","0"
"acc_4_113_301","Doctor Esquerdo","0"
"acc_4_113_302","Conde de Casal","0"
"acc_4_113_303","Doctor Esquerdo impares","0"
"acc_4_113_304","Doctor Esquerdo pares","0"
"acc_4_113_801","Ascensor","0"
"acc_4_114_1038","Ascensor exterior 1","0"
"acc_4_114_1039","Ascensor exterior 2","0"
"acc_4_114_305","Sainz de Baranda","0"
"acc_4_114_306","José Martínez de Velasco","0"
"acc_4_114_307","Moneda impares","0"
"acc_4_114_308","Moneda pares","0"
"acc_4_115_309","O´Donnell","0"
"acc_4_115_310","Casa de la Moneda","0"
"acc_4_115_311","J. Juan / Dr. Esquerdo pares","0"
"acc_4_115_312","J. Juan / Dr. Esquerdo impares","0"
"acc_4_119_313","República Argentina","0"
"acc_4_119_314","Joaquín Costa impares","0"
"acc_4_119_315","Joaquín Costa pares","0"
"acc_4_119_316","Joaquín Costa pares","0"
"acc_4_11_37","Gran Vía","0"
"acc_4_11_38","Gran Vía","0"
"acc_4_11_39","Fuencarral","0"
"acc_4_11_40","Montera","0"
"acc_4_120_317","Orense","0"
"acc_4_120_318","Agustín de Bethancourt","0"
"acc_4_120_319","Centro Comercial","0"
"acc_4_120_320","Edificio acceso RENFE - Arcadas Nuevos Ministerios","0"
"acc_4_120_321","Ascensor nº1","0"
"acc_4_120_322","Ascensor nº2","0"
"acc_4_120_395","Pº de la Castellana impares","0"
"acc_4_120_396","Pº de la Castellana pares","0"
"acc_4_120_397","Pº de la Castellana impares (Bulevar)","0"
"acc_4_120_398","Pº de la Castellana pares (Facturacion)","0"
"acc_4_120_399","Edificio acceso RENFE - Arcadas Nuevos Ministerios","0"
