"stop_id","stop_name","location_type","parent_station"
"acc_4_100_271","Avda. Poblados","2","est_90_1"
"acc_4_100_272","Maqueda","2","est_90_1"
"acc_4_100_273","Acceso RENFE","2","est_90_1"
"acc_4_100_274","Maqueda","2","est_90_1"
"acc_4_100_275","Avda. Poblados","2","est_90_1"
"acc_4_100_276","Terminal Autobuses","2","est_90_1"
"acc_4_100_277","Terminal Autobuses","2","est_90_1"
"acc_4_101_278","Padre Piquer","2","est_4_101"
"acc_4_102_279","Padre Piquer pares","2","est_4_102"
"acc_4_102_280","Padre Piquer impares","2","est_4_102"
"acc_4_103_281","Camino de Campamento s/n","2","est_4_103"
"acc_4_103_282","Ascensor","2","est_4_103"
"acc_4_104_1029","Ascensor nº1","2","est_4_104"
"acc_4_104_1030","Ascensor nº2","2","est_4_104"
"acc_4_104_1031","Ascensor nº3","2","est_4_104"
"acc_4_104_284","Alhambra pares","2","est_4_104"
"acc_4_104_285","Alhambra impares","2","est_4_104"
"acc_4_105_1033","Ascensor exterior nº1","2","est_4_105"
"acc_4_105_1035","Nuestra Señora de Valvanera - via Carpetana - Ateca","2","est_4_105"
"acc_4_105_1036","Ascensor exterior nº2","2","est_4_105"
"acc_4_105_286","Vía Carpetana","2","est_4_105"
"acc_4_107_287","Portalegre pares","2","est_4_107"
"acc_4_107_288","Portalegre impares","2","est_4_107"
"acc_4_108_289","Avda. Oporto pares","2","est_90_36"
"acc_4_108_290","Pza. Fernández Ladreda","2","est_90_36"
"acc_4_108_291","Ascensor","2","est_90_36"
"acc_4_108_292","Marcelo Usera pares","2","est_90_36"
"acc_4_108_293","Marcelo Usera impares","2","est_90_36"
"acc_4_108_800","Acceso intercambiador","2","est_90_36"
"acc_4_109_294","Amparo Usera","2","est_4_109"
"acc_4_109_295","Mirasierra","2","est_4_109"
"acc_4_109_806","Ascensor exterior","2","est_4_109"
"acc_4_10_34","Barceló","2","est_4_10"
"acc_4_10_35","Fuencarral","2","est_4_10"
"acc_4_10_36","Tribunal de Cuentas","2","est_4_10"
"acc_4_111_296","Méndez Alvaro impares","2","est_90_13"
"acc_4_111_297","Méndez Alvaro pares","2","est_90_13"
"acc_4_111_299","Pedro Bosch","2","est_90_13"
"acc_4_111_595","Retama","2","est_90_13"
"acc_4_111_596","Ascensor exterior intercambiador","2","est_90_13"
"acc_4_113_301","Doctor Esquerdo","2","est_4_113"
"acc_4_113_302","Conde de Casal","2","est_4_113"
"acc_4_113_303","Doctor Esquerdo impares","2","est_4_113"
"acc_4_113_304","Doctor Esquerdo pares","2","est_4_113"
"acc_4_113_801","Ascensor","2","est_4_113"
"acc_4_114_1038","Ascensor exterior 1","2","est_4_114"
"acc_4_114_1039","Ascensor exterior 2","2","est_4_114"
"acc_4_114_305","Sainz de Baranda","2","est_4_114"
"acc_4_114_306","José Martínez de Velasco","2","est_4_114"
"acc_4_114_307","Moneda impares","2","est_4_114"
"acc_4_114_308","Moneda pares","2","est_4_114"
"acc_4_115_309","O´Donnell","2","est_4_115"
"acc_4_115_310","Casa de la Moneda","2","est_4_115"
"acc_4_115_311","J. Juan / Dr. Esquerdo pares","2","est_4_115"
"acc_4_115_312","J. Juan / Dr. Esquerdo impares","2","est_4_115"
"acc_4_119_313","República Argentina","2","est_4_119"
"acc_4_119_314","Joaquín Costa impares","2","est_4_119"
"acc_4_119_315","Joaquín Costa pares","2","est_4_119"
"acc_4_119_316","Joaquín Costa pares","2","est_4_119"
"acc_4_11_37","Gran Vía","2","est_4_11"
"acc_4_11_38","Gran Vía","2","est_4_11"
"acc_4_11_39","Fuencarral","2","est_4_11"
"acc_4_11_40","Montera","2","est_4_11"
"acc_4_120_317","Orense","2","est_90_71"
"acc_4_120_318","Agustín de Bethancourt","2","est_90_71"
"acc_4_120_319","Centro Comercial","2","est_90_71"
"acc_4_120_320","Edificio acceso RENFE - Arcadas Nuevos Ministerios","2","est_90_71"
"acc_4_120_321","Ascensor nº1","2","est_90_71"
"acc_4_120_322","Ascensor nº2","2","est_90_71"
"acc_4_120_395","Pº de la Castellana impares","2","est_90_71"
"acc_4_120_396","Pº de la Castellana pares","2","est_90_71"
"acc_4_120_397","Pº de la Castellana impares (Bulevar)","2","est_90_71"
"acc_4_120_398","Pº de la Castellana pares (Facturacion)","2","est_90_71"
"acc_4_120_399","Edificio acceso RENFE - Arcadas Nuevos Ministerios","2","est_90_71"
"acc_4_120_403","Edificio acceso RENFE - Raimundo Fernandez Villaverde","2","est_90_71"
"acc_4_120_404","Ascensor nº5","2","est_90_71"
"acc_4_120_405","Ascensor nº6","2","est_90_71"
"acc_4_120_406","Ascensor exterior RENFE - Arcadas","2","est_90_71"
"acc_4_120_603","Ascensor exterior RENFE - Arcadas","2","est_90_71"
"acc_4_120_605","Edificio acceso RENFE - Raimundo Fernandez Villaverde","2","est_90_71"
"acc_4_120_606","Ascensor exterior RENFE 1 - Raimundo Fernandez Villaverde","2","est_90_71"
"acc_4_120_607","Ascensor exterior RENFE 2 - Raimundo Fernandez Villaverde","2","est_90_71"
"acc_4_120_608","Ascensor exterior RENFE 1 - Raimundo Fernandez Villaverde","2","est_90_71"
"acc_4_120_609","Ascensor exterior RENFE 2 - Raimundo Fernandez Villaverde","2","est_90_71"
"acc_4_122_323","General Rodrigo","2","est_4_122"
