"stop_id","stop_name"
"acc_4_100_271","Avda. Poblados"
"acc_4_100_272","Maqueda"
"acc_4_100_273","Acceso RENFE"
"acc_4_100_274","Maqueda"
"acc_4_100_275","Avda. Poblados"
"acc_4_100_276","Terminal Autobuses"
"acc_4_100_277","Terminal Autobuses"
"acc_4_101_278","Padre Piquer"
"acc_4_102_279","Padre Piquer pares"
"acc_4_102_280","Padre Piquer impares"
"acc_4_103_281","Camino de Campamento s/n"
"acc_4_103_282","Ascensor"
"acc_4_104_1029","Ascensor nº1"
"acc_4_104_1030","Ascensor nº2"
"acc_4_104_1031","Ascensor nº3"
"acc_4_104_284","Alhambra pares"
"acc_4_104_285","Alhambra impares"
"acc_4_105_1033","Ascensor exterior nº1"
"acc_4_105_1035","Nuestra Señora de Valvanera - via Carpetana - Ateca"
"acc_4_105_1036","Ascensor exterior nº2"
"acc_4_105_286","Vía Carpetana"
"acc_4_107_287","Portalegre pares"
"acc_4_107_288","Portalegre impares"
"acc_4_108_289","Avda. Oporto pares"
"acc_4_108_290","Pza. Fernández Ladreda"
"acc_4_108_291","Ascensor"
"acc_4_108_292","Marcelo Usera pares"
"acc_4_108_293","Marcelo Usera impares"
"acc_4_108_800","Acceso intercambiador"
"acc_4_109_294","Amparo Usera"
"acc_4_109_295","Mirasierra"
"acc_4_109_806","Ascensor exterior"
"acc_4_10_34","Barceló"
"acc_4_10_35","Fuencarral"
"acc_4_10_36","Tribunal de Cuentas"
"acc_4_111_296","Méndez Alvaro impares"
"acc_4_111_297","Méndez Alvaro pares"
"acc_4_111_299","Pedro Bosch"
"acc_4_111_595","Retama"
"acc_4_111_596","Ascensor exterior intercambiador"
"acc_4_113_301","Doctor Esquerdo"
"acc_4_113_302","Conde de Casal"
"acc_4_113_303","Doctor Esquerdo impares"
"acc_4_113_304","Doctor Esquerdo pares"
"acc_4_113_801","Ascensor"
"acc_4_114_1038","Ascensor exterior 1"
"acc_4_114_1039","Ascensor exterior 2"
"acc_4_114_305","Sainz de Baranda"
"acc_4_114_306","José Martínez de Velasco"
"acc_4_114_307","Moneda impares"
"acc_4_114_308","Moneda pares"
"acc_4_115_309","O´Donnell"
"acc_4_115_310","Casa de la Moneda"
"acc_4_115_311","J. Juan / Dr. Esquerdo pares"
"acc_4_115_312","J. Juan / Dr. Esquerdo impares"
"acc_4_119_313","República Argentina"
"acc_4_119_314","Joaquín Costa impares"
"acc_4_119_315","Joaquín Costa pares"
"acc_4_119_316","Joaquín Costa pares"
"acc_4_11_37","Gran Vía"
"acc_4_11_38","Gran Vía"
"acc_4_11_39","Fuencarral"
"acc_4_11_40","Montera"
"acc_4_120_317","Orense"
"acc_4_120_318","Agustín de Bethancourt"
"acc_4_120_319","Centro Comercial"
"acc_4_120_320","Edificio acceso RENFE - Arcadas Nuevos Ministerios"
"acc_4_120_321","Ascensor nº1"
"acc_4_120_322","Ascensor nº2"
"acc_4_120_395","Pº de la Castellana impares"
"acc_4_120_396","Pº de la Castellana pares"
"acc_4_120_397","Pº de la Castellana impares (Bulevar)"
"acc_4_120_398","Pº de la Castellana pares (Facturacion)"
"acc_4_120_399","Edificio acceso RENFE - Arcadas Nuevos Ministerios"
"acc_4_120_403","Edificio acceso RENFE - Raimundo Fernandez Villaverde"
"acc_4_120_404","Ascensor nº5"
"acc_4_120_405","Ascensor nº6"
"acc_4_120_406","Ascensor exterior RENFE - Arcadas"
"acc_4_120_603","Ascensor exterior RENFE - Arcadas"
"acc_4_120_605","Edificio acceso RENFE - Raimundo Fernandez Villaverde"
"acc_4_120_606","Ascensor exterior RENFE 1 - Raimundo Fernandez Villaverde"
"acc_4_120_607","Ascensor exterior RENFE 2 - Raimundo Fernandez Villaverde"
"acc_4_120_608","Ascensor exterior RENFE 1 - Raimundo Fernandez Villaverde"
"acc_4_120_609","Ascensor exterior RENFE 2 - Raimundo Fernandez Villaverde"
"acc_4_122_323","General Rodrigo"
"acc_4_122_324","Reina Victoria impares - G. el Bueno"
"acc_4_122_325","Ascensor"
"acc_4_122_326","Los Vascos"
"acc_4_122_327","Reina Victoria pares"
"acc_4_123_328","Gregorio del Amo"
"acc_4_123_329","Juan XXIII"
"acc_4_124_330","Facultades"
"acc_4_124_331","Avda. Complutense"
"acc_4_124_332","Ascensor"
"acc_4_127_1052","Ascensor"
"acc_4_127_333","Correspondencia RENFE"
"acc_4_127_334","Intercambiador"
"acc_4_127_336","Correspondencia RENFE"
"acc_4_127_610","Arcadas"
"acc_4_127_612","Centro Comercial"
"acc_4_127_613","Ascensor"
"acc_4_127_614","Centro Comercial"
"acc_4_128_339","Plaza Santa Cristina"
"acc_4_128_340","Caramuel"
"acc_4_129_341","Pza. Alto de Extremadura"
"acc_4_129_342","Francisco Brizuela"
"acc_4_12_1034","Alcalá"
"acc_4_12_1048","RENFE"
"acc_4_12_41","Carretas"
"acc_4_12_42","Carmen"
"acc_4_12_43","Mayor"
"acc_4_12_776","Ascensor"
"acc_4_12_777","Preciados"
"acc_4_130_343","Cebreros"
"acc_4_130_344","Higueras"
"acc_4_130_345","Ascensor"
"acc_4_132_346","Avda. de Niza impares"
"acc_4_132_802","Avda. de Niza pares"
"acc_4_133_347","Pobladura del Valle pares"
"acc_4_133_348","Pobladura del Valle impares"
"acc_4_134_349","Amposta"
"acc_4_134_350","Castillo de Uclés"
"acc_4_134_351","Zaratán"
"acc_4_135_352","Hermanos García Noblejas"
"acc_4_135_353","José Arcones Gil"
"acc_4_136_354","Ascao"
"acc_4_138_355","Martínez Villergas"
"acc_4_138_356","Virgen del Romero"
"acc_4_139_357","Avda. de Bruselas impares"
"acc_4_139_358","Avda. de Bruselas pares"
"acc_4_13_44","Conde de Romanones"
"acc_4_13_45","Magdalena"
"acc_4_140_359","Avda. de América pares"
"acc_4_140_360","Avda. de América impares"
"acc_4_142_361","Miguel Angel"
"acc_4_142_362","José Abascal"
"acc_4_142_363","Ascensor"
"acc_4_143_364","José Abascal - Alonso Cano"
"acc_4_143_365","José Abascal - Ponzano"
"acc_4_143_366","Ascensor"
"acc_4_145_367","Cea Bermúdez pares - Gaztambide"
"acc_4_145_368","Cea Bermúdez impares - Gaztambide"
"acc_4_145_369","Ascensor"
"acc_4_145_370","Cea Bermúdez pares - Guzmán el Bueno"
"acc_4_145_371","Cea Bermúdez impares - Guzmán el Bueno"
"acc_4_147_372","Moguer"
"acc_4_147_373","Alejandro Rodríguez"
"acc_4_147_374","Pablo Iglesias impares - Francos Rodriguez"
"acc_4_147_375","Pablo Iglesias pares - Francos Rodriguez"
"acc_4_147_376","Ascensor"
"acc_4_148_377","San Restituto"
"acc_4_148_378","Ascensor"
"acc_4_148_379","Emerenciana Zurilla"
"acc_4_148_380","Armenteros"
"acc_4_149_381","Valderrodrigo - Valdesangil"
"acc_4_149_382","Valderrodrigo"
"acc_4_149_383","Ascensor"
"acc_4_14_46","Amor de Dios"
"acc_4_14_47","Magdalena"
"acc_4_14_49","Atocha impares"
"acc_4_14_50","Atocha pares"
"acc_4_150_384","Vereda de Ganapanes impares"
"acc_4_150_385","Vereda de Ganapanes pares"
"acc_4_150_386","Ascensor"
"acc_4_151_387","Islas Cíes"
"acc_4_151_388","Ascensor"
"acc_4_152_389","Ramón Gómez de la Serna"
"acc_4_152_390","Riscos de Polanco"
"acc_4_152_391","Ascensor"
"acc_4_154_392","Camino de Peñagrande"
"acc_4_154_394","Ascensor"
"acc_4_156_409","Príncipe de Vergara impares - Colombia"
"acc_4_156_410","Príncipe de Vergara pares - Colombia"
"acc_4_156_411","Príncipe de Vergara impares - Pza. Rep. Dominicana"
"acc_4_156_412","Príncipe de Vergara pares - Pza. Rep. Dominicana"
"acc_4_156_413","Ascensor"
"acc_4_158_414","Avda. Capital de España-Madrid"
"acc_4_158_415","Feria de Madrid pabellones impares"
"acc_4_158_416","Feria de Madrid pabellones pares"
"acc_4_158_417","Ascensor"
"acc_4_159_418","Terminales 123"
"acc_4_159_419","Ascensor"
"acc_4_159_420","Ascensor"
"acc_4_15_51","Atocha"
"acc_4_15_52","Ministerio"
"acc_4_160_421","Avda. Logroño"
"acc_4_160_422","Ascensor"
"acc_4_161_423","Ginzo de Limia"
"acc_4_161_424","Cardenal Herrera Oria"
"acc_4_162_425","Ginzo de Limia impares"
"acc_4_162_426","Ginzo de Limia pares"
"acc_4_162_427","Melchor Fernández Almagro"
