stop,location,stopDescription,stopLat,stopLong,wheelchairAccessible
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_100_271>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda de los Poblados 41"^^xsd:string,"40.38582"^^xsd:double,"-3.76105"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_100_272>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Maqueda SN"^^xsd:string,"40.38597"^^xsd:double,"-3.76088"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_100_273>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda de los Poblados 41"^^xsd:string,"40.38576"^^xsd:double,"-3.7612"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_100_274>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Maqueda SN"^^xsd:string,"40.38595"^^xsd:double,"-3.76085"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_100_275>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda de los Poblados 41"^^xsd:string,"40.38538"^^xsd:double,"-3.76067"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_100_276>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Valmojado SN"^^xsd:string,"40.3853"^^xsd:double,"-3.76043"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_100_277>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Valmojado 293"^^xsd:string,"40.38546"^^xsd:double,"-3.76043"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_101_278>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Padre Piquer 37"^^xsd:string,"40.39085"^^xsd:double,"-3.76591"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_102_279>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda del Padre Piquer 8"^^xsd:string,"40.39445"^^xsd:double,"-3.76827"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_102_280>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda del Padre Piquer 7"^^xsd:string,"40.39469"^^xsd:double,"-3.7681"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_103_281>,<http://transport.linkeddata.es/resource/LocationType/2>,"Ctra del Zoo SN"^^xsd:string,"40.40318"^^xsd:double,"-3.7609"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_103_282>,<http://transport.linkeddata.es/resource/LocationType/2>,"Ctra del Zoo SN"^^xsd:string,"40.40331"^^xsd:double,"-3.76103"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_104_1029>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Cuart de Poblet 1 B"^^xsd:string,"40.39918"^^xsd:double,"-3.74464"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
