route,routeShortName,routeLongName,routeDescription,agency,agencyPage,agencyName,agencyPhone
<http://transport.linkeddata.es/madrid/metro/routes/4__10___>,"10","Hospital del Norte-Puerta del Sur","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__11___>,"11","Plaza Elíptica-La Fortuna","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__12___>,"12","MetroSur","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__1___>,"1","Pinar de Chamartín-Valdecarros","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__2___>,"2","Las Rosas-Cuatro Caminos","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__3___>,"3","Villaverde Alto-Moncloa","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__4___>,"4","Pinar de Chamartín-Argüelles","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__5___>,"5","Alameda de Osuna-Casa de Campo","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__6___>,"6","Circular","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__7___>,"7","Hospital del Henares-Pitis","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__8___>,"8","Nuevos Ministerios - Aeropuerto T4","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__9___>,"9","Paco de Lucía-Arganda del Rey","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
<http://transport.linkeddata.es/madrid/metro/routes/4__R___>,"R","Opera-Príncipe Pío","",<http://transport.linkeddata.es/madrid/agency/CRTM>,<http://www.crtm.es>,"Consorcio Regional de Transportes de Madrid",""
