"route_id","agency_id","route_short_name","route_long_name","route_desc"
"4__10___","CRTM","10","Hospital del Norte-Puerta del Sur",""
"4__11___","CRTM","11","Plaza Elíptica-La Fortuna",""
"4__12___","CRTM","12","MetroSur",""
"4__1___","CRTM","1","Pinar de Chamartín-Valdecarros",""
"4__2___","CRTM","2","Las Rosas-Cuatro Caminos",""
"4__3___","CRTM","3","Villaverde Alto-Moncloa",""
"4__4___","CRTM","4","Pinar de Chamartín-Argüelles",""
"4__5___","CRTM","5","Alameda de Osuna-Casa de Campo",""
"4__6___","CRTM","6","Circular",""
"4__7___","CRTM","7","Hospital del Henares-Pitis",""
"4__8___","CRTM","8","Nuevos Ministerios - Aeropuerto T4",""
"4__9___","CRTM","9","Paco de Lucía-Arganda del Rey",""
"4__R___","CRTM","R","Opera-Príncipe Pío",""
