"stop_id","stop_desc"
"acc_4_100_271","Avda de los Poblados 41"
"acc_4_100_272","Calle de Maqueda SN"
"acc_4_100_273","Avda de los Poblados 41"
"acc_4_100_274","Calle de Maqueda SN"
"acc_4_100_275","Avda de los Poblados 41"
"acc_4_100_276","Calle de Valmojado SN"
"acc_4_100_277","Calle de Valmojado 293"
"acc_4_101_278","Calle de Padre Piquer 37"
"acc_4_102_279","Avda del Padre Piquer 8"
"acc_4_102_280","Avda del Padre Piquer 7"
"acc_4_103_281","Ctra del Zoo SN"
"acc_4_103_282","Ctra del Zoo SN"
"acc_4_104_1029","Calle de Cuart de Poblet 1 B"
"acc_4_104_1030","Calle de Cuart de Poblet 1 B"
"acc_4_104_1031","Calle de Cuart de Poblet 1 B"
"acc_4_104_284","Calle de la Alhambra 56"
"acc_4_104_285","Calle de la Alhambra 33"
"acc_4_105_1033","Calle  Vía Carpetana 141"
"acc_4_105_1035","Calle  Vía Carpetana 139"
"acc_4_105_1036","Calle  Vía Carpetana 139"
"acc_4_105_286","Calle  Vía Carpetana 306"
"acc_4_107_287","Calle de Portalegre 98"
"acc_4_107_288","Calle de Portalegre 73"
"acc_4_108_289","Avda de Oporto 4"
"acc_4_108_290","Plaza de Fernández Ladreda 5"
"acc_4_108_291","Plaza de Fernández Ladreda 5"
"acc_4_108_292","Calle de Marcelo Usera 170"
"acc_4_108_293","Plaza de Fernández Ladreda 2"
"acc_4_108_800","Calle  Vía Lusitana 2"
"acc_4_109_294","Calle de Amparo Usera 46"
"acc_4_109_295","Calle de Mirasierra 41"
"acc_4_109_806","Plaza de Amparo Usera  1"
"acc_4_10_34","Calle de Barceló 2"
"acc_4_10_35","Calle de Fuencarral 78"
"acc_4_10_36","Calle de Fuencarral 81"
"acc_4_111_296","Calle de Mendez Álvaro 73"
"acc_4_111_297","Calle de Méndez Álvaro 64 C"
"acc_4_111_299","Calle de Pedro Bosch SN"
"acc_4_111_595","Calle de Pedro Bosch SN"
"acc_4_111_596","Calle del Ombu 20"
"acc_4_113_301","Calle del Doctor Esquerdo 175"
"acc_4_113_302","Plaza del Conde de Casal 2"
